제목,저자,출판사,발매일,평점
삼국지 원전 완역판 10 오장원,요시카와 에이지,코너스톤,2022.01.13 (종이책 출간 2020.03.09),9.4
입이 트이는 영어(EBS 방송교재 2023년 2월),이현석,EBS한국교육방송공사,2023.01.26,10
원씽(The One Thing)(리커버 특별판),게리 켈러,비즈니스북스,2013.08.21 (종이책 출간 2013.08.30),9.7
POWER ENGLISH(EBS 방송교재 2023년 2월),크리스틴 조,EBS한국교육방송공사,2023.01.26,6.3
지적 대화를 위한 넓고 얕은 지식 2,채사장,웨일북(whalebooks),2020.02.21 (종이책 출간 2020.02.05),9.8
법련 2월호(2023년),화광신문사 출판국 법련부編,화광신문사,2023.01.18,10
무조건 합격하는 암기의 기술,이윤규,더퀘스트,2023.01.26 (종이책 출간 2023.01.11),9.7
사랑의 이해,이혁진,민음사,2019.04.25 (종이책 출간 2019.04.19),9.5
불편한 편의점,김호연,나무옆의자,2021.05.03 (종이책 출간 2021.04.20),9.8
만일 내가 인생을 다시 산다면(10만 부 기념 스페셜 에디션),김혜남,메이븐,2022.11.11 (종이책 출간 2022.11.11),9.7
EASY ENGLISH(EBS 방송교재2023년 2월),김태연,EBS한국교육방송공사,2023.01.26,10
역행자,자청,웅진지식하우스,2022.05.30 (종이책 출간 2022.05.30),9.3
아버지의 해방일지,정지아,창비,2022.09.08 (종이책 출간 2022.09.02),9.9
데일 카네기 인간관계론,데일 카네기,현대지성,2019.10.25 (종이책 출간 2019.10.07),9.5
이지 라이팅(Easy Writing)(EBS 방송교재 2023년 2월),마스터유진,EBS한국교육방송공사,2023.01.26,8
자소서 바이블 2.0,면접왕 이형,엔알디3,2022.09.06 (종이책 출간 2022.08.25),10
입트영 + 귀트영 세트(EBS 방송교재 2023년 2월호),"이현석, 제니퍼 클라이드",EBS한국교육방송공사,2023.01.27,10
입트영 + 귀트영 세트(EBS 방송교재 2023년 2월호),"이현석, 제니퍼 클라이드",EBS한국교육방송공사,2023.01.27,10
스타트 잉글리시(EBS 방송교재 2023년 2월),이보영,EBS한국교육방송공사,2023.01.26,8.4
구의 증명,최진영,은행나무,2015.10.06 (종이책 출간 2015.03.30),9.4
음식 중독,마이클 모스,민음사,2023.01.26 (종이책 출간 2023.01.20),10
진짜 미국 영어(EBS 방송교재 2023년 2월),김교포,EBS한국교육방송공사,2023.01.26,8.8
불편한 편의점 2(단풍 에디션),김호연,나무옆의자,2022.08.12 (종이책 출간 2022.08.10),9.8
인생의 역사,신형철,난다,2022.12.05,10
물고기는 존재하지 않는다,룰루 밀러,곰출판,2022.01.19 (종이책 출간 2021.12.17),8.9
귀가 트이는 영어(EBS 방송교재 2023년 2월),이현석,EBS한국교육방송공사,2023.01.26,10
부는 어디서 오는가,월리스 와틀스,포레스트북스,2022.12.25 (종이책 출간 2022.12.24),9.5
돈의 속성(200쇄 리커버에디션),김승호,스노우폭스북스,2020.06.09 (종이책 출간 2020.06.15),9.4
부자 아빠 가난한 아빠. 1(20주년 특별 기념판),로버트 기요사키,민음인,2018.03.20 (종이책 출간 2018.02.22),9.7
트렌드 코리아 2023,김난도,미래의창,2022.10.05 (종이책 출간 2022.10.05),9.4
왓칭2   시야를 넓힐수록 마법처럼 이루어진다,김상운,정신세계사,2016.04.07 (종이책 출간 2016.01.22),9.7
중급 중국어(EBS 방송교재 2023년 2월),홍상욱,EBS한국교육방송공사,2023.01.26,10
중급 일본어(EBS 방송교재 2023년 2월),원미령,EBS한국교육방송공사,2023.01.26,10
돈의 심리학,모건 하우절,인플루엔셜,2021.01.21 (종이책 출간 2021.01.13),9.6
당신도 느리게 나이 들 수 있습니다,정희원,더퀘스트,2023.01.19 (종이책 출간 2023.01.17),9.9
마케팅 설계자,러셀 브런슨,윌북,2022.12.30 (종이책 출간 2022.12.30),9.4
그리스 로마 신화. 6: 디오뉘소스,홍은영,마므레북,2010.03.24 (종이책 출간 2009.04.16),9.4
정리하는 뇌,대니얼 J. 레비틴,와이즈베리,2019.07.18 (종이책 출간 2015.06.22),9.3
아주 작은 습관의 힘,제임스 클리어,비즈니스북스,2019.02.20 (종이책 출간 2019.02.26),9.6
진짜 쓰는 실무 엑셀,오빠두(전진권),제이펍,2022.09.27 (종이책 출간 2022.02.15),9.4
초급 일본어(EBS 방송교재 2023년 2월),이은미,EBS한국교육방송공사,2023.01.26,10
인스타 브레인,안데르스 한센,동양북스,2020.11.03 (종이책 출간 2020.05.15),9.4
씽킹 101,안우경,흐름출판,2023.01.19 (종이책 출간 2023.01.05),9.6
2022 Win-Q 화학분석기사 필기 단기완성,박지은,시대고시기획,2022.01.13 (종이책 출간 2022.03.10),7
데일리 필로소피,라이언 홀리데이,다산초당,2021.12.24 (종이책 출간 2021.12.24),10
초역 니체의 말,프리드리히 니체,삼호미디어,2022.11.28 (종이책 출간 2022.08.29),9.4
스틱!(15주년 기념판),칩 히스,웅진지식하우스,2022.10.24 (종이책 출간 2022.10.21),9.8
장단기 투자의 비밀,래리 윌리엄스,이레미디어,2023.01.27 (종이책 출간 2023.01.27),9.3
설득의 심리학 1-3,로버트 치알디니,21세기북스,2015.06.09,9.8
하루 한 줄 고전 인문학-1_어른의 삶은 곧아야 한다,김병완,북씽크,2023.01.16,10
가재가 노래하는 곳,델리아 오언스,살림,2019.06.17 (종이책 출간 2019.06.21),9.7
신경 끄기 연습,나이토 요시히토,유노책주,2023.01.02 (종이책 출간 2023.01.02),9.9
단순한 열정,아니 에르노,문학동네,2016.12.12 (종이책 출간 2015.03.30),9.5
모든 것은 기본에서 시작한다,손웅정,수오서재,2022.01.12 (종이책 출간 2021.10.15),9.8
삼국지 10,나관중,창작과비평사,2014.10.17 (종이책 출간 2003.07.10),9.9
거의 모든 일상 표현의 영어,케빈 강,사람in,2022.11.03 (종이책 출간 2022.10.26),9.9
코스모스,칼 세이건,사이언스북스,2017.03.24 (종이책 출간 2010.01.20),9.2
참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,2021.06.04 (종이책 출간 2011.11.25),9.3
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,2021.07.15 (종이책 출간 2021.06.28),9.4
키위엔 영어회화 하루 5분의 기적,박강준,키위엔,2022.12.05 (종이책 출간 2022.12.05),9.7
사랑은 그렇게 하는 것이 아니다,김달,빅피시,2022.10.19 (종이책 출간 2022.10.19),9.7
거인의 어깨 1,홍진채,포레스트북스,2022.12.19 (종이책 출간 2022.12.12),9.6
그릿(50만부 판매 기념 리커버 골드에디션),앤절라 더크워스,비즈니스북스,2019.02.15 (종이책 출간 2019.02.20),9.6
베싸육아,박정은,래디시,2023.01.31 (종이책 출간 2023.01.18),9
실전투자 절대지식,김형준,이레미디어,2018.05.17 (종이책 출간 2014.01.25),9.4
아파트 투자는 사이클이다,이현철,여의도책방,2022.11.08 (종이책 출간 2022.10.28),9.5
메이플스토리 오프라인 RPG. 100(완결),송도수,서울문화사,2019.06.28,9.7
클루지,개리 마커스,갤리온,2019.07.23 (종이책 출간 2008.11.24),9.2
달러구트 꿈 백화점. 2,이미예,팩토리나인,2021.07.26 (종이책 출간 2021.07.27),9.6
나를 나답게 만드는 것들,빌 설리번,브론스테인,2021.01.06 (종이책 출간 2020.12.23),9.5
맛있어서 지속 가능한 디디미니 다이어트 레시피,미니 박지우,빅피시,2022.05.18 (종이책 출간 2022.05.23),9.9
"개장 전, 아직 켜지지 않은 모니터 앞에서",강민우(돈깡),이레미디어,2022.02.07 (종이책 출간 2021.12.10),9.1
데미안,헤르만 헤세,민음사,2012.06.29 (종이책 출간 2009.01.20),9.6
장사의 신(200쇄 기념 블랙에디션),우노 다카시,쌤앤파커스,2023.01.20 (종이책 출간 2023.01.30),9.5
브랜드로 남는다는 것,홍성태,북스톤,2022.11.28 (종이책 출간 2022.11.12),10
지리의 힘 2,팀 마샬,사이,2022.04.12 (종이책 출간 2022.04.10),9.8
사랑의 기술,에리히 프롬,문예출판사,2019.08.30 (종이책 출간 2019.09.01),9.3
파친코 2,이민진,인플루엔셜,2022.09.05 (종이책 출간 2022.08.25),9.8
여행영어 10분의 기적,해커스어학연구소,해커스어학연구소,2020.05.08 (종이책 출간 2019.01.02),9.4
빅터 프랭클의 죽음의 수용소에서,빅터 프랭클,청아출판사,2020.07.14 (종이책 출간 2020.05.30),9.7
데일 카네기 자기 관리론(무삭제 완역본),데일 카네기,와일드북,2023.01.16 (종이책 출간 2022.12.25),9.9
대한민국 산업지도(2023),이래학,경이로움,2023.01.11 (종이책 출간 2023.01.10),8.8
안젤리크,기욤 뮈소,밝은세상,2023.01.09 (종이책 출간 2022.12.21),9.5
불륜의 심리학,게르티 젱어,탐나는책,2023.01.20 (종이책 출간 2023.01.20),10
메시지 S,유진 피터슨,복있는사람,2018.04.26 (종이책 출간 2017.12.04),9.6
이 책은 돈 버는 법에 관한 이야기,고명환,라곰,2022.10.24 (종이책 출간 2022.09.19),9.7
은하영웅전설. 10: 낙일편,다나카 요시키,이타카,2014.12.01 (종이책 출간 2011.10.14),9.1
내가 틀릴 수도 있습니다,비욘 나티코 린데블라드,다산초당,2022.04.28 (종이책 출간 2022.04.18),9.4
경제파국으로 치닫는 금융위기,최용식,새빛,2022.12.30 (종이책 출간 2023.01.05),10
월가의 영웅,피터 린치,국일증권경제연구소,2021.10.05 (종이책 출간 2021.07.30),9.7
부의 추월차선(10주년 스페셜 에디션),엠제이 드마코,토트,2022.01.24 (종이책 출간 2022.02.04),9.5
부자의 그릇,이즈미 마사토,다산북스,2020.12.21 (종이책 출간 2020.12.14),9.2
인생을 숙제처럼 살지 않기로 했다,웃따,다산북스,2023.02.01 (종이책 출간 2023.02.01),10
개구리 왕자(영어로 읽는 세계명작 스토리하우스 14),안델센,월드컴,2006.05.12 (종이책 출간 2003.03.07),10
월급쟁이 부자로 은퇴하라(10만 부 돌파 기념 증보판),너나위,알에이치코리아,2022.06.20 (종이책 출간 2022.06.20),9.7
초급 중국어(EBS 방송교재 2023년 2월),송지현,EBS한국교육방송공사,2023.01.26,0
미움받을 용기(200만 부 기념 스페셜 에디션),기시미 이치로,인플루엔셜,2023.01.11 (종이책 출간 2022.12.28),9.6
"뇌, 욕망의 비밀을 풀다",한스 게오르크 호이젤,비즈니스북스,2019.09.30 (종이책 출간 2019.10.04),9.5
모던 자바스크립트 Deep Dive,이웅모,위키북스,2021.01.04 (종이책 출간 2020.09.25),9.7
하얼빈,김훈,문학동네,2022.08.03 (종이책 출간 2022.08.03),9.8
