rank,title,writer,company,date,price,star_content,star_edit
1, eBook    만일 내가 인생을 다시 산다면  10만 부 기념 스페셜 에디션    벌써 마흔이 된 당신에게 해 주고 싶은 말들 42 EPUB                              , 김혜남 저                                                            , 메이븐                                        , 2022년 11월                                 ,"12,000원",5,4
2, eBook    1퍼센트 부자의 법칙   반드시 성공하는 일천 번의 법칙 EPUB                              , 사이토 히토리 저 김진아 역                                                            , 나비스쿨 NAVI SCHOOL                                         , 2023년 02월                                 ,"12,000원",0,0
3, eBook    김미경의 마흔 수업 EPUB                              , 김미경 저                                                            , 어웨이크북스                                        , 2023년 02월                                 ,"12,600원",0,0
4, eBook    챗GPT   마침내 찾아온 특이점 PDF                              , 반병현 저                                                            , 생능북스                                        , 2023년 02월                                 ,"11,000원",0,0
5, eBook    불편한 편의점 EPUB                              , 김호연 저                                                            , 나무옆의자                                        , 2021년 05월                                 ,"9,800원",4,4
6, eBook     100  페이백  대여  죽은 자의 꿈 책소개 페이백 받기 링크를 확인하세요   EPUB                              , 정보라 저                                                            , 새파란상상  파란미디어                                         , 2023년 02월                                 ,"10,000원",4,4
7, eBook    구의 증명  할인  EPUB                              , 최진영 저                                                            , 은행나무                                        , 2015년 03월                                 ,"6,480원",4,4
8, eBook    사랑의 이해 EPUB                              , 이혁진 저                                                            , 민음사                                        , 2019년 04월                                 ,"10,500원",4,4
9, eBook     대여  스마트폰을 떨어뜨렸을 뿐인데 EPUB                              , 시가 아키라 저 김성미 역                                                            , 북플라자                                        , 2018년 05월                                 ,"5,500원",4,4
10, eBook     100  페이백  대여  우리도 문 정도는 열 수 있어 책소개 페이백 받기 링크를 확인하세요   EPUB                              , 유키나리 카오루 저 주원일 역                                                            , 제우미디어                                        , 2023년 01월                                 ,"9,000원",4,4
11, eBook    무조건 합격하는 암기의 기술   26살 9개월 만에 사법시험을 패스한 이윤규 변호사의 책 한 권 통째로 씹어먹는 공부법  EPUB                              , 이윤규 저                                                            , 더퀘스트                                        , 2023년 01월                                 ,"15,040원",0,0
12, eBook    주식투자 최적의 타이밍을 잡는 법 EPUB                              , 스탠 와인스타인 저 우승택 역                                                            , 플로우                                        , 2021년 02월                                 ,"15,400원",5,5
13, eBook    당신도 느리게 나이 들 수 있습니다   나이가 들어도 몸의 시간은 젊게 EPUB                              , 정희원 저                                                            , 더퀘스트                                        , 2023년 01월                                 ,"14,240원",4,3
14, eBook    아몬드   2020 일본 서점대상 번역소설상 수상작 EPUB                              , 손원평 저                                                            , 창비                                        , 2017년 03월                                 ,"8,400원",4,4
15, eBook    원씽   복잡한 세상을 이기는 단순함의 힘 EPUB                              , 게리 켈러 제이 파파산 저 구세희 역                                                            , 비즈니스북스                                        , 2013년 08월                                 ,"10,000원",4,4
16, eBook    불편한 편의점 2 EPUB                              , 김호연 저                                                            , 나무옆의자                                        , 2022년 08월                                 ,"9,800원",4,4
17, eBook    파친코 1 EPUB                              , 이민진 저 신승미 역                                                            , 인플루엔셜                                        , 2022년 10월                                 ,"12,500원",4,4
18, eBook    아버지의 해방일지 EPUB                              , 정지아 저                                                            , 창비                                        , 2022년 09월                                 ,"12,000원",4,4
19, eBook    원페이지 교육학 기본서  제6판  PDF                              , Dave 저                                                            , 도서출판 새벽노을                                        , 2022년 04월                                 ,"34,800원",4,4
20, eBook    무기력의 심리학   무력감을 털어내고 나답게 사는 심리 처방전 EPUB                              , 브릿 프랭크 저 김두완 역                                                            , 흐름출판                                        , 2023년 02월                                 ,"14,400원",0,0
21, eBook    미스터 프레지던트   국가 기념식과 대통령 행사 이야기 EPUB                              , 탁현민 저                                                            , 메디치미디어                                        , 2023년 02월                                 ,"17,600원",5,4
22, eBook    미국인 사용빈도 다반사 영어회화 구동사 PDF                              , 김아영 Jennifer Grill 저                                                            , 사람in                                        , 2023년 02월                                 ,"12,600원",0,0
23, eBook    열린 어둠 EPUB                              , 렌죠 미키히코 저 양윤옥 역                                                            , 모모                                        , 2023년 01월                                 ,"11,760원",0,0
24, eBook    맥심 MAXIM 2023  1월호  Friends with Benefits  PDF                              , 맥심편집부 저                                                            , 와이미디어 맥심                                         , 2023년 01월                                 ,"4,800원",0,0
25, eBook    트렌드 코리아 2023   서울대 소비트렌드분석센터의 2023 전망 EPUB                              , 추예린 이혜원 한다혜 권정윤 이수진 최지혜 전미영 이향은 이준영 김난도 저                                                            , 미래의창                                        , 2022년 10월                                 ,"13,300원",5,5
26, eBook    이토록 평범한 미래 EPUB                              , 김연수 저                                                            , 문학동네                                        , 2022년 10월                                 ,"9,800원",5,5
27, eBook    역행자   돈 시간 운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 EPUB                              , 자청 저                                                            , 웅진지식하우스                                        , 2022년 05월                                 ,"11,070원",4,4
28, eBook     세트  식사가 잘못 됐습니다  총2권  , 마키타 젠지 저    전선영  문혜원 역   강재헌 감수 저                                                            , 더난출판사                                        , 2021년 06월                                 ,"20,650원",0,0
29, eBook    지적 대화를 위한 넓고 얕은 지식 1   한 권으로 현실 세계를 통달하는 지식 여행서 EPUB                              , 채사장 저                                                            , 웨일북                                        , 2020년 02월                                 ,"11,200원",4,4
30, eBook    곰브리치 세계사 EPUB                              , 에른스트 H  곰브리치 저 박민수 역                                                            , 비룡소                                        , 2016년 03월                                 ,"11,900원",4,4
31, eBook    DO IT 두잇   마지막 때를 알고 이기는 자가 되는 EPUB                              , 데이비드 차 저                                                            , 아크출판사                                        , 2023년 02월                                 ,"14,000원",0,0
32, eBook    흑뢰성 EPUB                              , 요네자와 호노부 저 김선영 역                                                            , 리드비 READbie                                         , 2023년 02월                                 ,"11,760원",0,0
33, eBook     단독  안락 탐정 단독 선출간  EPUB                              , 고바야시 야스미 저 주자덕 역                                                            , 아프로스미디어                                        , 2023년 02월                                 ,"11,200원",0,0
34, eBook     단독  작별들 순간들 단독 선출간  EPUB                              , 배수아 저                                                            , 문학동네                                        , 2023년 02월                                 ,"10,080원",5,5
35, eBook    입이 트이는 영어 2023년 2월호 PDF                              ,                                  이현석                                                            , 동아출판                                        , 2023년 01월                                 ,"8,800원",5,5
36, eBook    모든 것이 괜찮아지는 기술   불안  분노  스트레스로부터 나를 지키는 심리 기술 EPUB                              , 데런 브라운 저 김정희 역                                                            , 너를위한                                        , 2023년 01월                                 ,"12,300원",0,0
37, eBook    재벌 총수와 예언가 1 1 EPUB                              , J승리 저                                                            , 유페이퍼                                        , 2022년 10월                                 ,500원,0,0
38, eBook    개미 5년  세후 55억 EPUB                              , 성현우 저                                                            , 모루                                        , 2022년 02월                                 ,"12,000원",0,0
39, eBook    홍학의 자리 EPUB                              , 정해연 저                                                            , 엘릭시르                                        , 2021년 07월                                 ,"9,800원",4,4
40, eBook    인스타 브레인   몰입을 빼앗긴 시대  똑똑한 뇌 사용법 EPUB                              , 안데르스 한센 저 김아영 역                                                            , 동양북스 동양books                                         , 2020년 11월                                 ,"10,500원",0,0
41, eBook    데일 카네기 자기관리론 EPUB                              , 데일 카네기 저 임상훈 역                                                            , 현대지성                                        , 2021년 01월                                 ,"5,500원",4,4
42, eBook    부자의 그릇   돈을 다루는 능력을 키우는 법 EPUB                              , 이즈미 마사토 저 김윤수 역                                                            , 다산북스                                        , 2020년 12월                                 ,"10,500원",4,4
43, eBook    심판 EPUB                              , 베르나르 베르베르 저 전미연 역                                                            , 열린책들                                        , 2020년 08월                                 ,"10,000원",4,4
44, eBook    지적 대화를 위한 넓고 얕은 지식 0 제로    지혜를 찾아 138억 년을 달리는 시간 여행서 EPUB                              , 채사장 저                                                            , 웨일북                                        , 2020년 02월                                 ,"13,800원",4,4
45, eBook    욕망의 진화   사랑  연애  섹스  결혼 남녀의 엇갈린 욕망에 담긴 진실 EPUB                              , 데이비드 버스 저 전중환 역                                                            , 사이언스북스                                        , 2019년 11월                                 ,"17,600원",0,0
46, eBook    데일 카네기 인간관계론 EPUB  tvN 요즘책방 소개도서 27                             , 데일 카네기 저 임상훈 역                                                            , 현대지성                                        , 2019년 10월                                 ,"5,500원",4,4
47, eBook    클루지   생각의 역사를 뒤집는 기막힌 발견 EPUB  유튜버 라이프해커자청 소개도서 02                             , 개리 마커스 저 최호영 역                                                            , 갤리온                                        , 2019년 07월                                 ,"9,660원",4,4
48, eBook    생각에 관한 생각   우리의 행동을 지배하는 생각의 반란 EPUB                              , 대니얼 카너먼 저 이창신 역                                                            , 김영사                                        , 2018년 04월                                 ,"15,750원",4,4
49, eBook    안나 카레니나   더클래식 세계문학 스페셜 에디션 EPUB                              , 레프 톨스토이 저                                                            , 더클래식                                        , 2017년 08월                                 ,"3,300원",4,4
50, eBook    나도향 단편소설 미정고장편   한국문학전집 114 EPUB                              , 나도향 저                                                            , 히얼앤나우                                        , 2017년 06월                                 ,"1,000원",4,4
51, eBook    레버리지   자본주의 속에 숨겨진 부의 비밀 EPUB                              , 롭 무어 저 김유미 역                                                            , 다산북스                                        , 2023년 02월                                 ,"11,340원",0,0
52, eBook     단독  디테일의 발견   고객을 사로잡은 101가지 한 끗 단독 선출간   EPUB                              , 생각노트 저                                                            , 위즈덤하우스                                        , 2023년 02월                                 ,"11,340원",0,0
53, eBook    초거대 위협   앞으로 모든 것을 뒤바꿀 10가지 위기 EPUB                              , 누리엘 루비니 저 박슬라 역                                                            , 한국경제신문                                        , 2023년 02월                                 ,"20,000원",0,0
54, eBook     단독  아이에게 주는 감정 유산   가족심리학자 엄마가 열어준 마음 성장의 힘  단독 선출간   EPUB                              , 이남옥 저                                                            , 라이프앤페이지                                        , 2023년 02월                                 ,"10,710원",0,0
55, eBook    마음 가면   수치심  불안  강박에 맞서는 용기의 심리학 EPUB                              , 브레네 브라운 저 안진이 역                                                            , 웅진지식하우스                                        , 2023년 02월                                 ,"11,340원",0,0
56, eBook    메이드 EPUB                              , 니타 프로스 저 노진선 역                                                            , 마시멜로                                        , 2023년 02월                                 ,"12,100원",0,0
57, eBook     대여  종이학 살인사건 EPUB                              , 치넨 미키토 저 권하영 역                                                            , 북플라자                                        , 2022년 10월                                 ,"5,750원",5,4
58, eBook     대여  형사의 분노 EPUB                              , 야쿠마루 가쿠 저 남소현 역                                                            , 북플라자                                        , 2022년 11월                                 ,"5,750원",0,0
59, eBook    인생을 숙제처럼 살지 않기로 했다   힘 빼고 유연하게  모든 순간을 파도 타듯 즐기는 심리 수업 EPUB                              , 웃따 저                                                            , 다산북스                                        , 2023년 02월                                 ,"10,710원",5,5
60, eBook     대여  살육에 이르는 병 EPUB                              , 아비코 다케마루 저 권일영 역                                                            , 검은숲                                        , 2022년 11월                                 ,"4,200원",3,3
61, eBook     대여  염증 해방   병 없이 오래 사는 사람들의 비밀 mp3                              , 정세연 저                                                            , 다산라이프                                        , 2022년 11월                                 ,500원,0,0
62, eBook    진짜 미국 영어 2023년 2월호 PDF                              ,                                  김교포  로라                                                            , 동아출판                                        , 2023년 01월                                 ,"6,400원",5,5
63, eBook    인생의 역사    공무도하가 에서  사랑의 발명 까지 EPUB                              , 신형철 저                                                            , 난다                                        , 2022년 12월                                 ,"12,600원",0,0
64, eBook    아파트 투자는 사이클이다   주식과 비교하면 더 쉽게 이해되는 EPUB                              , 이현철 저                                                            , 여의도책방                                        , 2022년 11월                                 ,"14,000원",5,5
65, eBook    거의 모든 일상 표현의 영어 PDF                              , 케빈 강 해나 변 저                                                            , 사람in                                        , 2022년 11월                                 ,"11,900원",5,5
66, eBook    사람을 얻는 지혜 EPUB                              , 발타자르 그라시안 저 김유경 역                                                            , 현대지성                                        , 2022년 10월                                 ,"6,900원",5,5
67, eBook    스틱    1초 만에 착 달라붙는 메시지  그 안에 숨은 6가지 법칙 EPUB                              , 칩 히스 댄 히스 저 안진환 박슬라 역                                                            , 웅진지식하우스                                        , 2022년 10월                                 ,"11,340원",5,5
68, eBook    진짜 쓰는 실무 엑셀   유튜브 대표 엑셀 채널  오빠두가 알려 주는 엑셀 함수  보고서 작성  데이터 분석 노하우  PDF                              , 전진권 저                                                            , 제이펍                                        , 2022년 09월                                 ,"14,700원",0,0
69, eBook    뉴욕 정신과 의사의 사람 도서관   낙인과 혐오를 넘어 이해와 공존으로 EPUB                              , 나종호 저                                                            , 아몬드                                        , 2022년 05월                                 ,"11,850원",5,5
70, eBook    원페이지 교육학 빈칸노트  제6판  PDF                              , Dave 저                                                            , 도서출판 새벽노을                                        , 2022년 04월                                 ,"17,000원",5,5
71, eBook    도파민네이션   쾌락 과잉 시대에서 균형 찾기  EPUB                              , 애나 렘키 저 김두완 역                                                            , 흐름출판                                        , 2022년 04월                                 ,"14,400원",4,5
72, eBook    삼국지 원전 완역판 8 도남 EPUB                              , 나관중 원저 요시카와 에이지 편저 바른번역 역                                                            , 코너스톤                                        , 2020년 03월                                 ,900원,0,0
73, eBook    모든 것은 기본에서 시작한다 EPUB                              , 손웅정 저                                                            , 수오서재                                        , 2022년 01월                                 ,"11,200원",5,5
74, eBook    물고기는 존재하지 않는다   상실  사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 EPUB                              , 룰루 밀러 저 정지인 역                                                            , 곰출판                                        , 2022년 01월                                 ,"11,900원",4,4
75, eBook    오늘 밤  세계에서 이 사랑이 사라진다 해도 EPUB                              , 이치조 미사키 저 권영주 역                                                            , 모모                                        , 2021년 07월                                 ,"10,000원",5,5
76, eBook    실전투자의 비밀   실전 수익률 투자대회 총 12회 수상자의 EPUB                              , 김형준 저                                                            , 이레미디어                                        , 2021년 06월                                 ,"15,400원",5,5
77, eBook    프로젝트 헤일메리 EPUB                              , 앤디 위어 저 강동혁 역                                                            , 알에이치코리아 RHK                                         , 2021년 05월                                 ,"12,950원",4,4
78, eBook    나혜석   이성간의 우정론   한국문학전집 55 EPUB                              , 나혜석 저                                                            , 9의예술                                        , 2021년 02월                                 ,"1,000원",4,4
79, eBook    룬의 아이들   데모닉 완전판 8 EPUB                              , 전민희 저                                                            , 14월의책                                        , 2021년 02월                                 ,"8,600원",5,5
80, eBook    돈의 심리학 EPUB                              , 모건 하우절 저   이지연 역 저                                                            , 인플루엔셜                                        , 2021년 01월                                 ,"14,800원",4,4
81, eBook    만일 내가 인생을 다시 산다면  10만 부 기념 스페셜 에디션    벌써 마흔이 된 당신에게 해 주고 싶은 말들 42 EPUB                              , 김혜남 저                                                            , 메이븐                                        , 2022년 11월                                 ,"12,000원",5,4
82, eBook    1퍼센트 부자의 법칙   반드시 성공하는 일천 번의 법칙 EPUB                              , 사이토 히토리 저 김진아 역                                                            , 나비스쿨 NAVI SCHOOL                                         , 2023년 02월                                 ,"12,000원",0,0
83, eBook    김미경의 마흔 수업 EPUB                              , 김미경 저                                                            , 어웨이크북스                                        , 2023년 02월                                 ,"12,600원",0,0
84, eBook    챗GPT   마침내 찾아온 특이점 PDF                              , 반병현 저                                                            , 생능북스                                        , 2023년 02월                                 ,"11,000원",0,0
85, eBook    불편한 편의점 EPUB                              , 김호연 저                                                            , 나무옆의자                                        , 2021년 05월                                 ,"9,800원",4,4
86, eBook     100  페이백  대여  죽은 자의 꿈 책소개 페이백 받기 링크를 확인하세요   EPUB                              , 정보라 저                                                            , 새파란상상  파란미디어                                         , 2023년 02월                                 ,"10,000원",4,4
87, eBook    구의 증명  할인  EPUB                              , 최진영 저                                                            , 은행나무                                        , 2015년 03월                                 ,"6,480원",4,4
88, eBook    사랑의 이해 EPUB                              , 이혁진 저                                                            , 민음사                                        , 2019년 04월                                 ,"10,500원",4,4
89, eBook     대여  스마트폰을 떨어뜨렸을 뿐인데 EPUB                              , 시가 아키라 저 김성미 역                                                            , 북플라자                                        , 2018년 05월                                 ,"5,500원",4,4
90, eBook     100  페이백  대여  우리도 문 정도는 열 수 있어 책소개 페이백 받기 링크를 확인하세요   EPUB                              , 유키나리 카오루 저 주원일 역                                                            , 제우미디어                                        , 2023년 01월                                 ,"9,000원",4,4
91, eBook    무조건 합격하는 암기의 기술   26살 9개월 만에 사법시험을 패스한 이윤규 변호사의 책 한 권 통째로 씹어먹는 공부법  EPUB                              , 이윤규 저                                                            , 더퀘스트                                        , 2023년 01월                                 ,"15,040원",0,0
92, eBook    주식투자 최적의 타이밍을 잡는 법 EPUB                              , 스탠 와인스타인 저 우승택 역                                                            , 플로우                                        , 2021년 02월                                 ,"15,400원",5,5
93, eBook    당신도 느리게 나이 들 수 있습니다   나이가 들어도 몸의 시간은 젊게 EPUB                              , 정희원 저                                                            , 더퀘스트                                        , 2023년 01월                                 ,"14,240원",4,3
94, eBook    아몬드   2020 일본 서점대상 번역소설상 수상작 EPUB                              , 손원평 저                                                            , 창비                                        , 2017년 03월                                 ,"8,400원",4,4
95, eBook    원씽   복잡한 세상을 이기는 단순함의 힘 EPUB                              , 제이 파파산 게리 켈러 저 구세희 역                                                            , 비즈니스북스                                        , 2013년 08월                                 ,"10,000원",4,4
96, eBook    불편한 편의점 2 EPUB                              , 김호연 저                                                            , 나무옆의자                                        , 2022년 08월                                 ,"9,800원",4,4
97, eBook    파친코 1 EPUB                              , 이민진 저 신승미 역                                                            , 인플루엔셜                                        , 2022년 10월                                 ,"12,500원",4,4
98, eBook    아버지의 해방일지 EPUB                              , 정지아 저                                                            , 창비                                        , 2022년 09월                                 ,"12,000원",4,4
99, eBook    원페이지 교육학 기본서  제6판  PDF                              , Dave 저                                                            , 도서출판 새벽노을                                        , 2022년 04월                                 ,"34,800원",4,4
100, eBook    무기력의 심리학   무력감을 털어내고 나답게 사는 심리 처방전 EPUB                              , 브릿 프랭크 저 김두완 역                                                            , 흐름출판                                        , 2023년 02월                                 ,"14,400원",0,0
