rank,title,writer,price
1,입이 트이는 영어 2023년 2월호,동아출판,"8,800원"
2,만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),김혜남,"12,000원"
3,귀가 트이는 영어 2023년 2월호,동아출판,"8,800원"
4,POWER ENGLISH 2023년 2월호,동아출판,"6,400원"
5,사랑의 이해,이혁진,"10,500원"
6,EASY WRITING 2023년 2월호,동아출판,"8,000원"
7,원씽,제이 파파산,"10,000원"
8,EASY ENGLISH 2023년 2월호,동아출판,"6,400원"
9,진짜 미국 영어 2023년 2월호,동아출판,"6,400원"
10,불편한 편의점,김호연,"9,800원"
11,[단독] 열린 어둠,렌죠 미키히코,"11,760원"
12,법련 2월호(2023년),화광신문사 출판국 법련부編,"1,500원"
13,무조건 합격하는 암기의 기술,이윤규,"15,040원"
14,[100% 페이백][대여] 절벽의 밤,미치오 슈스케,"5,900원"
15,아버지의 해방일지,정지아,"12,000원"
16,START ENGLISH 2023년 2월호,동아출판,"6,400원"
17,당신도 느리게 나이 들 수 있습니다,정희원,"14,240원"
18,물고기는 존재하지 않는다,룰루 밀러,"11,900원"
19,데일 카네기 인간관계론,데일 카네기,"5,500원"
20,걸을 때마다 조금씩 내가 된다,캐서린 메이,"12,500원"
21,그릿(50만부 판매 기념 리커버 골드에디션),앤절라 더크워스,"12,600원"
22,구의 증명 [할인],최진영,"6,480원"
23,트렌드 코리아 2023,김난도,"13,300원"
24,맥심 MAXIM 2023. 1월호 (Friends with Benefits),맥심편집부,"4,800원"
25,나의 월급 독립 프로젝트 (리마스터 에디션),유목민,"13,300원"
26,장단기 투자의 비밀,래리 윌리엄스,"17,500원"
27,불편한 편의점 2,김호연,"9,800원"
28,홍학의 자리,정해연,"9,800원"
29,맥심 MAXIM 2023. 2월호 (꽐라),맥심편집부,"4,800원"
30,역행자,자청,"11,070원"
31,중급 중국어 2023년 2월호,동아출판,"5,600원"
32,인스타 브레인,안데르스 한센,"10,500원"
33,인생을 숙제처럼 살지 않기로 했다,웃따,"10,710원"
34,중급 일본어 2023년 2월호,동아출판,"5,600원"
35,키위엔 영어회화 하루 5분의 기적,박강준,"13,650원"
36,공정하다는 착각,마이클 샌델,"12,600원"
37,돈의 속성,김승호,"12,460원"
38,부자 아빠 가난한 아빠 20주년 특별 기념판 [부자 아빠 가난한 아빠 1 개정증보판],로버트 기요사키,"11,900원"
39,데일리 필로소피,스티븐 핸슬먼,"12,600원"
40,돈의 심리학,모건 하우절 저 / 이지연 역,"14,800원"
41,단순한 열정,아니 에르노,"7,000원"
42,이토록 평범한 미래,김연수,"9,800원"
43,참을 수 없는 존재의 가벼움,밀란 쿤데라,"11,200원"
44,해커스 토익 실전 1000제 1 READING 문제집,해커스 어학연구소,"9,520원"
45,내가 틀릴 수도 있습니다,비욘 나티코 린데블라드,"11,200원"
46,가재가 노래하는 곳,델리아 오언스,"11,200원"
47,초급 일본어 2023년 2월호,동아출판,"5,600원"
48,경제파국으로 치닫는 금융위기,최용식,"14,000원"
49,2022 Win-Q 화학분석기사 필기 단기완성,박지은,"20,300원"
50,파친코 1,이민진,"12,500원"
51,공감의 배신,폴 블룸,"10,800원"
52,우리는 각자의 세계가 된다,데이비드 이글먼,"15,400원"
53,마케팅 설계자,러셀 브런슨,"17,360원"
54,씽킹 101,안우경,"16,800원"
55,센스 있는 영어 표현,에디 리,"9,100원"
56,파친코 2,이민진,"12,500원"
57,진짜 쓰는 실무 엑셀,전진권,"14,700원"
58,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,"10,000원"
59,배터리 전쟁,루카스 베드나르스키,"14,000원"
60,미움받을 용기 (200만 부 기념 스페셜 에디션),고가 후미타케,"12,700원"
61,고통의 비밀,몬티 라이먼,"13,230원"
62,원페이지 교육학 기본서 (제6판),Dave,"34,800원"
63,"뇌, 욕망의 비밀을 풀다",한스-게오르크 호이젤,"12,600원"
64,실전투자 절대지식,김형준,"17,500원"
65,"부자는 됐고, 적당히 벌고 적당히 잘사는 법",임다혜,"11,200원"
66,실전투자의 비밀,김형준,"15,400원"
67,"칵테일, 러브, 좀비",조예은,"6,300원"
68,정리하는 뇌,대니얼 J. 레비틴,"15,400원"
69,아몬드,손원평,"8,400원"
70,[단독][세트] 나의 해방일지 (총4권/완결),박해영,"39,600원"
71,신경 끄기 연습,나이토 요시히토,"12,000원"
72,거의 모든 일상 표현의 영어,케빈 강,"11,900원"
73,밥 프록터 부의 확신,밥 프록터,"11,200원"
74,모든 것은 기본에서 시작한다,손웅정,"11,200원"
75,밝은 밤,최은영 저,"10,200원"
76,불안,알랭 드 보통,"10,500원"
77,사랑의 기술 (개정판),에리히 프롬,"8,400원"
78,클루지,개리 마커스,"9,660원"
79,종의 기원,정유정,"9,100원"
80,2023 대한민국 산업지도,이래학,"15,400원"
81,그릿(50만부 판매 기념 리커버 골드에디션),앤절라 더크워스,"12,600원"
82,구의 증명 [할인],최진영,"6,480원"
83,트렌드 코리아 2023,김난도,"13,300원"
84,맥심 MAXIM 2023. 1월호 (Friends with Benefits),맥심편집부,"4,800원"
85,나의 월급 독립 프로젝트 (리마스터 에디션),유목민,"13,300원"
86,장단기 투자의 비밀,래리 윌리엄스,"17,500원"
87,불편한 편의점 2,김호연,"9,800원"
88,홍학의 자리,정해연,"9,800원"
89,맥심 MAXIM 2023. 2월호 (꽐라),맥심편집부,"4,800원"
90,역행자,자청,"11,070원"
91,중급 중국어 2023년 2월호,동아출판,"5,600원"
92,인스타 브레인,안데르스 한센,"10,500원"
93,인생을 숙제처럼 살지 않기로 했다,웃따,"10,710원"
94,중급 일본어 2023년 2월호,동아출판,"5,600원"
95,키위엔 영어회화 하루 5분의 기적,박강준,"13,650원"
96,공정하다는 착각,마이클 샌델,"12,600원"
97,돈의 속성,김승호,"12,460원"
98,부자 아빠 가난한 아빠 20주년 특별 기념판 [부자 아빠 가난한 아빠 1 개정증보판],로버트 기요사키,"11,900원"
99,데일리 필로소피,라이언 홀리데이,"12,600원"
100,돈의 심리학,모건 하우절 저 / 이지연 역,"14,800원"
