제목,저자,출판사,출간일,별점,장르
맥베스 (한글+영문판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2013년 8월,0.0,문학
이솝 이야기 1 (한글+영문),이솝 (지은이) , 미르북컴퍼니 , 2014년 6월,5.0,문학
변신 (한글판 + 영문판),"프란츠 카프카 (지은이), 한영란 (옮긴이) ", 더클래식 , 2015년 4월,0.0,문학
카라마조프가의 형제들 1 : 더클래식 세계문학 컬렉션 096,"표도르 도스토옙스키 (지은이), 장한 (옮긴이) ", 더클래식 , 2018년 12월,5.0,문학
민음사 세계문학전집 1-400 카탈로그,민음사 편집부 (지은이) , 민음사 , 2022년 5월,0.0,문학
체호프 단편선,"안톤 파블로비치 체호프 (지은이), 박현섭 (옮긴이) ", 민음사 , 2012년 10월,4.5,문학
인형의 집,"헨리크 입센 (지은이), 안미란 (옮긴이) ", 민음사 , 2012년 7월,4.5,문학
프랑켄슈타인 - 세계문학전집 094,"메리 셸리 (지은이), 김선형 (옮긴이) ", 문학동네 , 2012년 6월,4.5,문학
이솝 이야기 2 (한글+영문),이솝 (지은이) , 미르북컴퍼니 , 2014년 6월,0.0,문학
별 (한글판 + 영문판),"알퐁스 도데 (지은이), 조정훈 (옮긴이) ", 더클래식 , 2015년 1월,0.0,문학
싯다르타 (한글판),"헤르만 헤세 (지은이), 박진권 (옮긴이) ", 더클래식 , 2017년 4월,0.0,문학
미녀와 야수 (한글판 + 영문판),"쟌 마리 르 프랭스 드 보몽 (지은이), 최헵시바 (옮긴이) ", 미르북컴퍼니 , 2014년 11월,0.0,문학
젊은 시인에게 보내는 편지,"라이너 마리아 릴케 (지은이), 송영택 (옮긴이) ", 문예출판사 , 2018년 5월,4.0,문학
거미여인의 키스,"마누엘 푸익 (지은이), 송병선 (옮긴이) ", 민음사 , 2018년 11월,4.5,문학
데카메론 1,"조반니 보카치오 (지은이), 박상진 (옮긴이) ", 민음사 , 2012년 11월,4.5,문학
페스트,"알베르 카뮈 (지은이), 서상원 (옮긴이) ", 스타북스 , 2020년 3월,4.5,문학
고리오 영감,박영근 (옮긴이) , 민음사 , 2012년 8월,4.0,문학
오셀로,"윌리엄 셰익스피어 (지은이), 최종철 (옮긴이) ", 민음사 , 2013년 2월,4.5,문학
카라마조프가의 형제들 1,"표도르 도스토옙스키 (지은이), 이가영 (옮긴이), 최행규 (해설) ", 코너스톤 , 2021년 11월,5.0,문학
니코마코스 윤리학,"아리스토텔레스 (지은이), 박문재 (옮긴이) ", 현대지성 , 2022년 2월,5.0,문학
카라마조프가의 형제들 2,"표도르 도스토옙스키 (지은이), 이가영 (옮긴이), 최행규 (해설) ", 코너스톤 , 2021년 11월,0.0,문학
검은 튤립,"알렉상드르 뒤마 (지은이), 송진석 (옮긴이) ", 민음사 , 2012년 10월,4.0,문학
채털리 부인의 연인 2,"데이비드 허버트 로렌스 (지은이), 이인규 (옮긴이) ", 민음사 , 2013년 4월,4.0,문학
우신예찬,"에라스무스 (지은이), 박문재 (옮긴이) ", 현대지성 , 2022년 10월,5.0,문학
마음을 따뜻하게 해주는 불교명언,그림책편집기획팀 (지은이) , 그림책 , 2012년 10월,5.0,문학
릴케 단편선 - 문예 세계문학선 121,"라이너 마리아 릴케 (지은이), 송영택 (옮긴이) ", 문예출판사 , 2016년 3월,4.5,문학
사람은 무엇으로 사는가,"레프 니콜라예비치 톨스토이 (지은이), 이항재 (옮긴이) ", 문학동네 , 2023년 2월,5.0,문학
인간과 동물의 감정 표현,"찰스 로버트 다윈 (지은이), 김성한 (옮긴이), 최재천 (감수), 다윈 포럼 (기획) ", 사이언스북스 , 2023년 2월,5.0,문학
두 도시 이야기 (한글판),"찰스 디킨스 (지은이), 신윤진, 이수진 (옮긴이) ", 더클래식 , 2012년 11월,4.5,문학
안나 카레니나 - 더클래식 세계문학 스페셜 에디션,"레프 니콜라예비치 톨스토이 (지은이), 장영재 (옮긴이) ", 더클래식 , 2017년 8월,5.0,문학
젊은 베르테르의 슬픔 (한글+영문판),"요한 볼프강 폰 괴테 (지은이), 허승진 (옮긴이) ", 더클래식 , 2013년 6월,4.0,문학
이상한 나라의 앨리스,"루이스 캐럴 (지은이), 존 테니얼 (그림), 베스트트랜스 (옮긴이) ", 더클래식 , 2013년 1월,5.0,문학
수레바퀴 아래서 (한글판),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2013년 6월,4.0,문학
문예춘추사 셜록 홈즈 전집 세트 (전 10권),"아서 코난 도일 (지은이), 박상은 (옮긴이) ", 문예춘추사 , 2012년 12월,4.0,문학
그리스인 조르바 (한글+영문판),"니코스 카잔자키스 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2013년 6월,4.5,문학
물고기는 존재하지 않는다,"룰루 밀러 (지은이), 정지인 (옮긴이) ", 곰출판 , 2022년 1월,4.0,자연/과학
정리하는 뇌,"대니얼 J. 레비틴 (지은이), 김성훈 (옮긴이) ", 와이즈베리 , 2019년 7월,4.5,자연/과학
다정한 것이 살아남는다,"브라이언 헤어, 버네사 우즈 (지은이), 이민아 (옮긴이), 박한선 (감수) ", 디플롯 , 2021년 10월,4.5,자연/과학
"욕망의 진화 : 사랑, 연애, 섹스, 결혼 남녀의 엇갈린 욕망에 담긴 진실","데이비드 버스 (지은이), 전중환 (옮긴이) ", 사이언스북스 , 2019년 11월,4.0,자연/과학
우리는 각자의 세계가 된다,"데이비드 이글먼 (지은이), 김승욱 (옮긴이) ", 알에이치코리아(RHK) , 2023년 2월,5.0,자연/과학
종의 기원,"찰스 로버트 다윈 (지은이), 장대익 (옮긴이), 최재천 (감수), 다윈 포럼 (기획) ", 사이언스북스 , 2023년 2월,4.5,자연/과학
나를 나답게 만드는 것들,"빌 설리번 (지은이), 김성훈 (옮긴이) ", 브론스테인 , 2021년 1월,4.0,자연/과학
우울할 땐 뇌 과학,"앨릭스 코브 (지은이), 정지인 (옮긴이) ", 심심 , 2018년 3월,4.0,자연/과학
천문학자는 별을 보지 않는다,심채경 (지은이) , 문학동네 , 2021년 2월,4.5,자연/과학
나는 왜 생각이 많을까?,"홋타 슈고 (지은이), 윤지나 (옮긴이) ", 서사원 , 2021년 8월,4.5,자연/과학
이기적 유전자,"리처드 도킨스 (지은이), 홍영남, 이상임 (옮긴이) ", 을유문화사 , 2019년 2월,4.0,자연/과학
익스텐드 마인드,"애니 머피 폴 (지은이), 이정미 (옮긴이) ", 알에이치코리아(RHK) , 2022년 11월,5.0,자연/과학
놓아버림,"데이비드 호킨스 (지은이), 박찬준 (옮긴이) ", 판미동 , 2013년 11월,5.0,자연/과학
코스모스,칼 세이건 (지은이) , 사이언스북스 , 2020년 2월,3.5,자연/과학
사이코패스 뇌과학자,"제임스 팰런 (지은이), 김미선 (옮긴이) ", 더퀘스트 , 2020년 10월,4.5,자연/과학
건강의 뇌과학,"제임스 굿윈 (지은이), 박세연 (옮긴이) ", 현대지성 , 2022년 7월,5.0,자연/과학
피타고라스 생각 수업,이광연 (지은이) , 유노라이프 , 2023년 1월,5.0,자연/과학
AI 지도책,"케이트 크로퍼드 (지은이), 노승영 (옮긴이) ", 소소의책 , 2022년 11월,5.0,자연/과학
초공간,"미치오 카쿠 (지은이), 박병철 (옮긴이) ", 김영사 , 2018년 6월,4.5,자연/과학
진리는 바뀔 수도 있습니다,"데이비드 도이치 (지은이), 김혜원 (옮긴이) ", 알에이치코리아(RHK) , 2023년 2월,3.0,자연/과학
떨림과 울림,김상욱 (지은이) , 동아시아 , 2018년 11월,4.5,자연/과학
노화의 종말,"매슈 D. 러플랜트, 데이비드 A. 싱클레어 (지은이), 이한음 (옮긴이) ", 부키 , 2020년 8월,4.0,자연/과학
거의 모든 것의 역사,"빌 브라이슨 (지은이), 이덕환 (옮긴이) ", 까치 , 2020년 5월,4.5,자연/과학
비전공자도 이해할 수 있는 AI 지식,"박상길 (지은이), 정진호 (그림) ", 반니 , 2022년 8월,5.0,자연/과학
나는 어떻게 성형미인이 되었나,임소연 (지은이) , 돌베개 , 2022년 12월,5.0,자연/과학
다윈 지능,최재천 (지은이) , 사이언스북스 , 2023년 2월,0.0,자연/과학
이토록 뜻밖의 뇌과학,"리사 펠드먼 배럿 (지은이), 변지영 (옮긴이), 정재승 (감수) ", 더퀘스트 , 2021년 8월,4.5,자연/과학
엔드 오브 타임,"브라이언 그린 (지은이), 박병철 (옮긴이) ", 와이즈베리 , 2021년 2월,5.0,자연/과학
까면서 보는 해부학 만화,"압듈라 (지은이), 신동선 (감수) ", 한빛비즈 , 2020년 7월,4.5,자연/과학
과학이 사랑에 대해 말해줄 수 있는 모든 것,"애나 마친 (지은이), 제효영 (옮긴이) ", 어크로스 , 2022년 12월,4.5,자연/과학
차이에 관한 생각,"프란스 드 발 (지은이), 이충호 (옮긴이) ", 세종(세종서적) , 2022년 12월,5.0,자연/과학
지구가 평평하다고 믿는 사람과 즐겁고 생산적인 대화를 나누는 법,"리 매킨타이어 (지은이), 노윤기 (옮긴이) ", 위즈덤하우스 , 2022년 12월,4.5,자연/과학
침묵의 봄,"레이첼 카슨 (지은이), 김은령 (옮긴이), 홍욱희 (감수) ", 에코리브르 , 2018년 4월,4.5,자연/과학
랩 걸,"호프 자런 (지은이), 김희정 (옮긴이) ", 알마 , 2017년 7월,0.0,자연/과학
신비롭지 않은 여자들,임소연 (지은이) , 민음사 , 2022년 6월,4.5,자연/과학
모든 순간의 물리학,"카를로 로벨리 (지은이), 김현주 (옮긴이), 이중원 (감수) ", 쌤앤파커스 , 2016년 4월,4.0,자연/과학
진화심리학,"이충호 (옮긴이), 최재천 (감수) ", 웅진지식하우스 , 2014년 4월,4.5,자연/과학
오래된 기억들의 방,"베로니카 오킨 (지은이), 김병화 (옮긴이) ", 알에이치코리아(RHK) , 2022년 9월,4.5,자연/과학
악령이 출몰하는 세상,"칼 세이건 (지은이), 이상헌 (옮긴이) ", 사이언스북스 , 2022년 12월,5.0,자연/과학
식량위기 대한민국,남재작 (지은이) , 웨일북 , 2022년 7월,4.5,자연/과학
수학 리부트,강중빈 (지은이) , 인사이트 , 2020년 7월,5.0,자연/과학
해석학 첫걸음,"스티븐 애벗 (지은이), 한빛수학교재연구소 (옮긴이), 김세익 (감수) ", 한빛아카데미(교재) , 2021년 7월,0.0,자연/과학
콘택트 2,"칼 세이건 (지은이), 이상원 (옮긴이) ", 사이언스북스 , 2019년 8월,4.5,자연/과학
복잡계 개론,"윤영수, 채승병 (지은이) ", 삼성글로벌리서치 , 2022년 10월,4.5,자연/과학
정수론 첫걸음,"Kuldeep Singh (지은이), 한빛수학교재연구소 (옮긴이) ", 한빛아카데미(교재) , 2022년 10월,0.0,자연/과학
직무별 현직자가 말하는 2차전지 직무 바이블,"배연석, 이차준, 공멘토 (지은이) ", 렛유인 , 2023년 1월,0.0,자연/과학
인간과 동물의 감정 표현,"찰스 로버트 다윈 (지은이), 김성한 (옮긴이), 최재천 (감수), 다윈 포럼 (기획) ", 사이언스북스 , 2023년 2월,5.0,자연/과학
김남호의 F1 스토리,김남호 (지은이) , 42미디어콘텐츠 , 2023년 2월,0.0,자연/과학
악의 마음을 읽는 자들 : 국내 최초 프로파일러의 연쇄살인 추적기,"고나무, 권일용 (지은이) ", 알마 , 2018년 11월,4.0,자연/과학
우리는 왜 잠을 자야 할까 : 수면과 꿈의 과학,"매슈 워커 (지은이), 이한음 (옮긴이) ", 열린책들 , 2019년 2월,5.0,자연/과학
"빌 게이츠, 기후재앙을 피하는 법","빌 게이츠 (지은이), 김민주, 이엽 (옮긴이) ", 김영사 , 2021년 2월,4.5,자연/과학
나는 오늘 나에게 ADHD라는 이름을 주었다,신지수 (지은이) , 휴머니스트 , 2021년 7월,4.0,자연/과학
느끼고 아는 존재,"안토니오 다마지오 (지은이), 고현석 (옮긴이), 박문호 (감수) ", 흐름출판 , 2021년 9월,4.5,자연/과학
미스터리 작가를 위한 법의학 Q&A,"D. P. 라일 (지은이), 강동혁 (옮긴이), 강다솔 (감수) ", 들녘 , 2018년 3월,4.5,자연/과학
생각은 어떻게 행동이 되는가,"데이비드 바드르 (지은이), 김한영 (옮긴이) ", 해나무 , 2022년 3월,5.0,자연/과학
김상욱의 과학공부,김상욱 (지은이) , 동아시아 , 2016년 7월,4.0,자연/과학
아주 작은 죽음들,"브루스 골드파브 (지은이), 강동혁 (옮긴이) ", 알에이치코리아(RHK) , 2022년 10월,4.5,자연/과학
일어날 일은 일어난다,박권 (지은이) , 동아시아 , 2021년 10월,4.0,자연/과학
아무것도 하기 싫은 사람을 위한 뇌 과학,"가토 토시노리 (지은이), 정현옥 (옮긴이) ", 갤리온 , 2021년 6월,4.0,자연/과학
정재승의 과학 콘서트 (개정증보 2판),정재승 (지은이) , 어크로스 , 2020년 7월,4.5,자연/과학
미적분의 힘,"스티븐 스트로가츠 (지은이), 이충호 (옮긴이) ", 해나무 , 2021년 11월,5.0,자연/과학
특이점이 온다,"레이 커즈와일 (지은이), 장시형, 김명남 (옮긴이), 진대제 (감수) ", 김영사 , 2020년 2월,5.0,자연/과학
최종 경고 : 6도의 멸종,"마크 라이너스 (지은이), 김아림 (옮긴이) ", 세종(세종서적) , 2022년 7월,5.0,자연/과학
"박문호 박사의 뇌과학 공부 : 감각, 지각, 기억, 꿈, 그리고 자아와 세계에 관하여",박문호 (지은이) , 김영사 , 2018년 5월,4.5,자연/과학
우리는 모두 조금은 이상한 것을 믿는다,"대니얼 록스턴, 니콜라 고브리트 (지은이), 스켑틱 협회 편집부 (엮은이) ", 바다출판사 , 2022년 9월,4.5,자연/과학
이득우의 게임 수학,이득우 (지은이) , 책만 , 2022년 4월,5.0,자연/과학
나무 수업,"페터 볼레벤 (지은이), 장혜경 (옮긴이) ", 위즈덤하우스 , 2016년 3월,4.5,자연/과학
가까운 사람이 자기애성 성격 장애일 때,"우도 라우흐플라이슈 (지은이), 장혜경 (옮긴이) ", 심심 , 2021년 3월,4.5,자연/과학
에덴의 용,"칼 세이건 (지은이), 임지원 (옮긴이) ", 사이언스북스 , 2017년 9월,4.5,자연/과학
수학은 우주로 흐른다,송용진 (지은이) , 브라이트 , 2021년 12월,5.0,자연/과학
물은 H2O인가?,"장하석 (지은이), 전대호 (옮긴이) ", 김영사 , 2021년 6월,5.0,자연/과학
호르몬과 건강의 비밀,요하네스 뷔머 (지은이) , 현대지성 , 2020년 12월,5.0,자연/과학
아인슈타인이 괴델과 함께 걸을 때,"짐 홀트 (지은이), 노태복 (옮긴이) ", 소소의책 , 2020년 5월,4.5,자연/과학
10대 놀라운 뇌 불안한 뇌 아픈 뇌,김붕년 (지은이) , (주)대성 , 2021년 8월,5.0,자연/과학
콘택트 1,"칼 세이건 (지은이), 이상원 (옮긴이) ", 사이언스북스 , 2019년 8월,4.5,자연/과학
복잡한 세상을 이기는 수학의 힘,"류쉐펑 (지은이), 이서연 (옮긴이), 김지혜 (감수) ", 미디어숲 , 2023년 1월,5.0,자연/과학
완경 선언,"제니퍼 건터 (지은이), 김희정, 안진희 (옮긴이) ", 생각의힘 , 2022년 11월,5.0,자연/과학
10대의 뇌,"에이미 엘리스 넛 (지은이), 김성훈 (옮긴이) ", 웅진지식하우스 , 2020년 2월,4.5,자연/과학
칼만 필터는 어렵지 않아,김성필 (지은이) , 한빛아카데미(교재) , 2020년 12월,4.5,자연/과학
곽재식의 유령 잡는 화학자,곽재식 (지은이) , 김영사 , 2022년 10월,5.0,자연/과학
매스매틱스 1,이상엽 (지은이) , 길벗 , 2020년 12월,5.0,자연/과학
모기가 우리한테 해 준 게 뭔데?,"프라우케 피셔, 힐케 오버한스베르크 (지은이), 추미란 (옮긴이) ", 북트리거 , 2022년 11월,5.0,자연/과학
겸손한 목격자들 : 철새·경락·자폐증·성형의 현장에 연루되다,"임소연, 김연화, 성한아 (지은이) ", 에디토리얼 , 2022년 2월,5.0,자연/과학
자동차 인터페이스 디자인,박수레 (지은이) , 책만 , 2022년 7월,5.0,자연/과학
심리음향학,오세진 (지은이) , 시그마프레스 , 2014년 6월,4.0,자연/과학
머리가 깨질 것 같아,"어맨다 엘리슨 (지은이), 권혜정 (옮긴이) ", 글항아리 , 2022년 1월,5.0,자연/과학
전지적 건설 엔지니어 시점 : 철근 콘크리트를 사랑하는 일,양동신 (지은이) , 김영사 , 2023년 1월,5.0,자연/과학
치매에 관한 새로운 생각,"티아 파월 (지은이), 제효영 (옮긴이) ", 브론스테인 , 2023년 2월,0.0,자연/과학
반드시 다가올 미래,남성현 (지은이) , 포르체 , 2022년 12월,5.0,자연/과학
동물지,"아리스토텔레스 (지은이), 서경주 (옮긴이), 김대웅 (해설) ", 노마드 , 2023년 2월,0.0,자연/과학
양자 역학이란 무엇인가,"마이클 워커 (지은이), 조진혁 (옮긴이), 이강영 (감수) ", 처음북스 , 2023년 2월,5.0,자연/과학
빅데이터 SPSS 최신 분석기법,조용준 (지은이) , (주)한나래플러스 , 2022년 4월,0.0,자연/과학
데이터는 어떻게 인생의 무기가 되는가,"세스 스티븐스 다비도위츠 (지은이), 안진이 (옮긴이) ", 더퀘스트 , 2022년 10월,5.0,자연/과학
만들어진 신,"리처드 도킨스 (지은이), 이한음 (옮긴이) ", 김영사 , 2016년 2월,4.0,자연/과학
시간은 흐르지 않는다,"카를로 로벨리 (지은이), 이중원 (옮긴이) ", 쌤앤파커스 , 2019년 8월,4.0,자연/과학
미적분의 쓸모,한화택 (지은이) , 더퀘스트 , 2022년 5월,5.0,자연/과학
상대적이며 절대적인 지식의 백과사전,"베르나르 베르베르 (지은이), 이세욱 (옮긴이) ", 열린책들 , 2021년 11월,5.0,자연/과학
움직임의 뇌과학,"캐럴라인 윌리엄스 (지은이), 이영래 (옮긴이) ", 갤리온 , 2021년 12월,5.0,자연/과학
공감은 지능이다,"자밀 자키 (지은이), 정지인 (옮긴이) ", 심심 , 2021년 4월,4.5,자연/과학
나를 알고 싶을 때 뇌과학을 공부합니다,"질 볼트 테일러 (지은이), 진영인 (옮긴이) ", 윌북 , 2022년 3월,5.0,자연/과학
이기적 유전자,"리처드 도킨스 (지은이), 홍영남, 이상임 (옮긴이) ", 을유문화사 , 2019년 2월,4.0,강의지원도서
불륜의 심리학,"게르티 젱어, 발터 호프만 (지은이), 함미라 (옮긴이) ", 탐나는책 , 2023년 2월,0.0,강의지원도서
비전공자도 이해할 수 있는 AI 지식,"박상길 (지은이), 정진호 (그림) ", 반니 , 2022년 8월,5.0,강의지원도서
프셉마음 - 산부인과편,정유정 (지은이) , 드림널스 , 2022년 4월,0.0,강의지원도서
이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈 (지은이) , 한빛미디어 , 2020년 9월,5.0,강의지원도서
파이썬 알고리즘 인터뷰,"박상길 (지은이), 정진호 (그림) ", 책만 , 2020년 10월,5.0,강의지원도서
헤드 퍼스트 디자인 패턴,"케이시 시에라, 버트 베이츠, 엘리자베스 롭슨 (지은이) ", 한빛미디어 , 2022년 4월,5.0,강의지원도서
프셉마음 - 약물편,"남소희, 허연정 (지은이) ", 드림널스 , 2022년 4월,4.0,강의지원도서
그림으로 보는 건설현장의 안전관리,이병수 (지은이) , 성안당 , 2022년 8월,5.0,강의지원도서
ChatGPT와 DALLE2로 인공지능 내맘대로 다루기,초보AI (지은이) , e퍼플 , 2023년 2월,4.0,강의지원도서
한국전문소생술 4판,대한심폐소생협회 (지은이) , 군자출판사 , 2021년 11월,5.0,강의지원도서
이것이 자바다,신용권 (지은이) , 한빛미디어 , 2022년 9월,4.5,강의지원도서
프셉마음 : 혈액검사 해석 및 간호편,"이재왕, 김지희 (지은이) ", 드림널스 , 2022년 9월,5.0,강의지원도서
프셉마음 - 정형외과편,박기옥 (지은이) , 드림널스 , 2022년 4월,0.0,강의지원도서
틸리 서양철학사,"프랭크 틸리 (지은이), 김기찬 (옮긴이) ", 현대지성 , 2020년 3월,4.5,강의지원도서
Do it! 알고리즘 코딩 테스트 - 파이썬 편,김종관 (지은이) , 이지스퍼블리싱 (주) , 2022년 8월,5.0,강의지원도서
프셉마음 : 신경과편,신사랑 (지은이) , 드림널스 , 2022년 6월,4.5,강의지원도서
해석학 첫걸음,"스티븐 애벗 (지은이), 한빛수학교재연구소 (옮긴이), 김세익 (감수) ", 한빛아카데미(교재) , 2021년 7월,0.0,강의지원도서
존재의 심리학,"에이브러햄 매슬로 (지은이), 정태연, 노현정 (옮긴이) ", 문예출판사 , 2019년 8월,4.0,강의지원도서
정수론 첫걸음,"Kuldeep Singh (지은이), 한빛수학교재연구소 (옮긴이) ", 한빛아카데미(교재) , 2022년 10월,0.0,강의지원도서
보육교사 장기 미종사자 직무교육,"윤매자, 하수연, 정연옥 (지은이) ", 공동체 , 2022년 12월,0.0,강의지원도서
직무별 현직자가 말하는 2차전지 직무 바이블,"배연석, 이차준, 공멘토 (지은이) ", 렛유인 , 2023년 1월,0.0,강의지원도서
보건의료 관리와 리더십,이종율 (지은이) , 한올출판사 , 2023년 1월,0.0,강의지원도서
Do it! 점프 투 파이썬 -전면 개정판,박응용 (지은이) , 이지스퍼블리싱 , 2019년 6월,4.5,강의지원도서
군주론,"니콜로 마키아벨리 (지은이), 강정인, 김경희 (옮긴이) ", 까치 , 2019년 11월,4.5,강의지원도서
Do it! 자바 프로그래밍 입문,박은종 (지은이) , 이지스퍼블리싱 , 2018년 8월,4.5,강의지원도서
무경계,"켄 윌버 (지은이), 김철수 (옮긴이) ", 정신세계사 , 2017년 1월,4.5,강의지원도서
아들러의 인간이해,"알프레드 아들러 (지은이), 홍혜경 (옮긴이) ", 을유문화사 , 2016년 9월,4.5,강의지원도서
Do it! 자료구조와 함께 배우는 알고리즘 입문 - 자바 편 : 전면개정판,"시바타 보요 (지은이), 강민 (옮긴이) ", 이지스퍼블리싱 (주) , 2022년 5월,5.0,강의지원도서
문명의 충돌,"새뮤얼 헌팅턴 (지은이), 이희재 (옮긴이) ", 김영사 , 2017년 4월,4.0,강의지원도서
파이썬 머신러닝 판다스 데이터 분석,오승환 (지은이) , 정보문화사 , 2019년 6월,5.0,강의지원도서
아동 심리치료 치료계획서,"Arthur E. Jongsma, Jr., L. Mark Peterson, William P. McInnis, Timothy J. Bruce (지은이), 송영혜 (옮긴이) ", 시그마프레스 , 2015년 9월,5.0,강의지원도서
누구나 자료 구조와 알고리즘(개정2판),"제이 웬그로우 (지은이), 심지현 (옮긴이) ", 길벗 , 2021년 12월,5.0,강의지원도서
양극성 장애,"조용래, 김빛나 (지은이) ", 학지사 , 2018년 10월,5.0,강의지원도서
프로테스탄티즘의 윤리와 자본주의 정신,"막스 베버 (지은이), 박성수 (옮긴이) ", 문예출판사 , 2013년 10월,4.0,강의지원도서
프셉마음 - 중환자간호 입문편,전호웅 (지은이) , 드림널스 , 2022년 4월,4.5,강의지원도서
제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS,노경섭 (지은이) , 한빛아카데미(교재) , 2020년 12월,5.0,강의지원도서
2022 예산회계실무 기본서,"강인옥, 최두선, 최기웅 (지은이) ", 광문각 , 2022년 4월,0.0,강의지원도서
도널드 노먼의 디자인과 인간 심리,"도널드 A. 노먼 (지은이), 박창호 (옮긴이) ", 학지사 , 2022년 2월,4.0,강의지원도서
Do it! 게임 10개 만들며 배우는 파이썬,"벤 포터, 쉬무엘 포터 (지은이), 안동현 (옮긴이) ", 이지스퍼블리싱 , 2022년 12월,5.0,강의지원도서
Do it! 지옥에서 온 문서 관리자 깃&깃허브 입문 (전면 개정판),"고경희, 이고잉 (지은이) ", 이지스퍼블리싱 (주) , 2022년 10월,5.0,강의지원도서
계량경제학,"R. 카터 힐, William E. Griffiths, Guay C. Lim (지은이) ", 시그마프레스 , 2021년 2월,0.0,강의지원도서
최신 수술실 매뉴얼,"윤혜상, 장영진, 서은주 (지은이) ", 포널스 , 2021년 9월,5.0,강의지원도서
인지심리학,"Ronald T. Kellogg (지은이), 박권생 (옮긴이) ", 시그마프레스 , 2017년 4월,0.0,강의지원도서
