제목,저자,출판사,출간일,별점,장르
"차이나 쇼크, 한국의 선택",한청훤 (지은이) , 사이드웨이 , 2022년 8월,4.5,인문
깻잎 투쟁기,우춘희 (지은이) , 교양인 , 2022년 6월,5.0,인문
타오르는 질문들,"마거릿 애트우드 (지은이), 이재경 (옮긴이) ", 위즈덤하우스 , 2022년 10월,5.0,인문
사물의 소멸,"한병철 (지은이), 전대호 (옮긴이) ", 김영사 , 2022년 9월,5.0,인문
정희진처럼 읽기,정희진 (지은이) , 교양인 , 2017년 5월,0.0,인문
식량위기 대한민국,남재작 (지은이) , 웨일북 , 2022년 7월,4.5,인문
반항하는 인간,"알베르 카뮈 (지은이), 김화영 (옮긴이) ", 민음사 , 2021년 7월,5.0,인문
가짜 자존감 권하는 사회,김태형 (지은이) , 갈매나무 , 2018년 1월,4.5,인문
말을 부수는 말,이라영 (지은이) , 한겨레출판 , 2023년 1월,5.0,인문
"여성, 인종, 계급","앤절라 Y. 데이비스 (지은이), 성원 (옮긴이) ", arte(아르테) , 2022년 8월,5.0,인문
납치된 도시에서 길찾기,전현우 (지은이) , 민음사 , 2022년 12월,5.0,인문
경계선 지능 아동의 정서사회성,"정하나, 유선미, 김지연 (지은이) ", 이담북스 , 2021년 11월,5.0,인문
한 번은 불러보았다,정회옥 (지은이) , 위즈덤하우스 , 2022년 10월,4.5,인문
허쌤의 학급경영 코칭,테크빌교육(즐거운학교) ,, 2019년 7월,5.0,인문
애덤 스미스 함께 읽기,장경덕 (지은이) , 글항아리 , 2023년 2월,0.0,인문
호모 데우스,"유발 하라리 (지은이), 김명주 (옮긴이) ", 김영사 , 2023년 1월,4.5,인문
악의 마음을 읽는 자들 : 국내 최초 프로파일러의 연쇄살인 추적기,"고나무, 권일용 (지은이) ", 알마 , 2018년 11월,4.0,인문
왜 세계의 절반은 굶주리는가?,"우석훈, 장 지글러 (지은이), 유영미 (옮긴이) ", 갈라파고스 , 2016년 7월,4.5,인문
월든 (한글판),"헨리 데이비드 소로 (지은이), 전행선 (옮긴이) ", 더클래식 , 2013년 6월,4.0,인문
계속 가보겠습니다,임은정 (지은이) , 메디치미디어 , 2022년 8월,5.0,인문
두 번째 지구는 없다,"타일러 라쉬 (지은이), 이영란 (감수) ", 알에이치코리아(RHK) , 2020년 7월,4.5,인문
군주론,"니콜로 마키아벨리 (지은이), 김운찬 (옮긴이) ", 현대지성 , 2021년 7월,5.0,인문
"빌 게이츠, 기후재앙을 피하는 법","빌 게이츠 (지은이), 김민주, 이엽 (옮긴이) ", 김영사 , 2021년 2월,4.5,인문
나는 오늘 나에게 ADHD라는 이름을 주었다,신지수 (지은이) , 휴머니스트 , 2021년 7월,4.0,인문
타인의 해석 : 당신이 모르는 사람을 만났을 때,"말콤 글래드웰 (지은이), 유강은 (옮긴이), 김경일 (감수) ", 김영사 , 2020년 3월,4.0,인문
군주론,"니콜로 마키아벨리 (지은이), 강정인, 김경희 (옮긴이) ", 까치 , 2019년 11월,4.5,인문
국가는 왜 실패하는가,"대런 애쓰모글루, 제임스 A. 로빈슨 (지은이), 최완규 (옮긴이), 장경덕 (감수) ", 시공사 , 2020년 2월,4.0,인문
사이코패스는 일상의 그늘에 숨어 지낸다,"이수정, 김경옥 (지은이) ", 중앙M&B , 2018년 8월,4.0,인문
해러웨이 선언문,"도나 해러웨이 (지은이), 황희선 (옮긴이) ", 책세상 , 2019년 7월,0.0,인문
공산당 선언 (개정판),"카를 마르크스, 프리드리히 엥겔스 (지은이), 이진우 (옮긴이) ", 책세상 , 2018년 8월,4.0,인문
특이점이 온다,"레이 커즈와일 (지은이), 장시형, 김명남 (옮긴이), 진대제 (감수) ", 김영사 , 2020년 2월,5.0,인문
마이너리티 디자인,"사와다 도모히로 (지은이), 김영현 (옮긴이) ", 다다서재 , 2022년 6월,5.0,인문
"예정된 전쟁 : 미국과 중국의 패권 경쟁,  그리고 한반도의 운명","그레이엄 앨리슨 (지은이), 정혜윤 (옮긴이) ", 세종(세종서적) , 2018년 1월,4.0,인문
펀 홈 : 가족 희비극 (2019 텍스트형 전자책 제작 지원 선정작),"앨리슨 벡델 (지은이), 이현 (옮긴이) ", 움직씨 , 2019년 12월,4.5,인문
수학 잘하는 아이는 이렇게 공부합니다,류승재 (지은이) , 블루무스 , 2021년 3월,4.5,인문
최종 경고 : 6도의 멸종,"마크 라이너스 (지은이), 김아림 (옮긴이) ", 세종(세종서적) , 2022년 7월,5.0,인문
"여성, 경찰하는 마음","여성 경찰 23인 (지은이), 주명희 (엮은이), 경찰 젠더연구회 (기획) ", 생각정원 , 2022년 10월,5.0,인문
문명의 충돌,"새뮤얼 헌팅턴 (지은이), 이희재 (옮긴이) ", 김영사 , 2017년 4월,4.0,인문
여성과 광기,"필리스 체슬러 (지은이), 임옥희 (옮긴이) ", 위고 , 2021년 10월,5.0,인문
사라질 수 없는 사람들,"제니퍼 M. 실바 (지은이), 성원 (옮긴이) ", 문예출판사 , 2022년 12월,5.0,인문
알지 못하는 아이의 죽음,"은유 (지은이), 임진실 (사진) ", 돌베개 , 2019년 7월,5.0,인문
중동전쟁,"임용한, 조현영 (지은이) ", 레드리버 , 2022년 12월,5.0,인문
프로테스탄티즘의 윤리와 자본주의 정신,"막스 베버 (지은이), 박성수 (옮긴이) ", 문예출판사 , 2013년 10월,4.0,인문
길 위의 철학자,"에릭 호퍼 (지은이), 방대수 (옮긴이) ", 이다미디어 , 2014년 2월,4.0,인문
포르노랜드 : 당신이 웃어넘긴 야동의 실체,"게일 다인스 (지은이), 신혜빈 (옮긴이) ", 열다북스 , 2020년 3월,4.5,인문
함께 읽는 민법 : 채권각론편,김삼연 (지은이) , 도서출판 시우 , 2015년 9월,0.0,인문
함께 읽는 민법 : 채권총론 편,김삼연 (지은이) , 도서출판 시우 , 2015년 5월,2.0,인문
장애인과 함께 사는 법,백정연 (지은이) , 유유 , 2022년 4월,4.5,인문
자유주의,"에드먼드 포셋 (지은이), 신재성 (옮긴이) ", 글항아리 , 2022년 12월,5.0,인문
프로메테우스의 금속,"기욤 피트롱 (지은이), 양영란 (옮긴이) ", 갈라파고스 , 2021년 6월,5.0,인문
자본주의와 장애,"마타 러셀 (지은이), 키스 로즌솔 (엮은이), 조영학 (옮긴이) ", 동아시아 , 2022년 11월,0.0,인문
나는 옐로에 화이트에 약간 블루 2,"브래디 미카코 (지은이), 김영현 (옮긴이) ", 다다서재 , 2022년 9월,5.0,인문
탈혼기,유혜담 (지은이) , 별세계 , 2022년 6월,5.0,인문
낙인찍힌 몸,염운옥 (지은이) , 돌베개 , 2019년 9월,4.5,인문
어떤 양형 이유,박주영 (지은이) , 모로 , 2023년 1월,0.0,인문
장애의 역사,"킴 닐슨 (지은이), 김승섭 (옮긴이) ", 동아시아 , 2020년 11월,4.5,인문
미즈키 시게루의 라바울 전기,"미즈키 시게루 (지은이), 김효진 (옮긴이) ", AK(에이케이)커뮤니케이션즈 , 2022년 6월,4.5,인문
물고기는 존재하지 않는다,"룰루 밀러 (지은이), 정지인 (옮긴이) ", 곰출판 , 2022년 1월,4.0,에세이/산문
어른의 어휘 공부,신효원 (지은이) , 책장속북스 , 2022년 9월,5.0,에세이/산문
인생을 숙제처럼 살지 않기로 했다,웃따(나예랑) (지은이) , 다산북스 , 2023년 2월,5.0,에세이/산문
소설가라는 이상한 직업,장강명 (지은이) , 유유히 , 2023년 2월,4.5,에세이/산문
인생의 역사,신형철 (지은이) , 난다 , 2022년 12월,5.0,에세이/산문
시간이 있었으면 좋겠다 : 삶의 여백을 사랑하는 일에 대해,김신지 (지은이) , 잠비 , 2023년 2월,5.0,에세이/산문
제 마음대로 살아보겠습니다,이원지 (지은이) , 상상출판 , 2019년 12월,5.0,에세이/산문
사람을 얻는 지혜 (스페인어 원전 완역본),"발타자르 그라시안 (지은이), 김유경 (옮긴이) ", 현대지성 , 2022년 10월,5.0,에세이/산문
불안,"알랭 드 보통 (지은이), 정영목 (옮긴이) ", 은행나무 , 2011년 12월,4.5,에세이/산문
사랑의 기술 (개정판),"에리히 프롬 (지은이), 황문수 (옮긴이) ", 문예출판사 , 2019년 9월,4.0,에세이/산문
사랑은 그렇게 하는 것이 아니다,김달 (지은이) , 빅피시 , 2022년 10월,5.0,에세이/산문
"아무튼, 현수동",장강명 (지은이) , 위고 , 2023년 2월,4.5,에세이/산문
아주 오랜만에 행복하다는 느낌,백수린 (지은이) , 창비 , 2022년 10월,5.0,에세이/산문
우리는 비슷한 얼굴을 하고서,김달님 (지은이) , 수오서재 , 2023년 2월,5.0,에세이/산문
자미,"오드리 로드 (지은이), 송섬별 (옮긴이) ", 디플롯 , 2023년 2월,5.0,에세이/산문
천문학자는 별을 보지 않는다,심채경 (지은이) , 문학동네 , 2021년 2월,4.5,에세이/산문
나는 좌절의 스페셜리스트입니다,백혜선 (지은이) , 다산북스 , 2023년 1월,5.0,에세이/산문
빅터 프랭클의 죽음의 수용소에서,"빅터 프랭클 (지은이), 이시형 (옮긴이) ", 청아출판사 , 2020년 7월,4.5,에세이/산문
탈무드 - 더클래식 세계문학 컬렉션,"유대교 랍비 (지은이), 더클래식 편집부 (옮긴이) ", 더클래식 , 2017년 8월,4.0,에세이/산문
아침의 피아노,김진영 (지은이) , 한겨레출판 , 2019년 1월,4.5,에세이/산문
오늘 하지 않아도 되는 걱정은 오늘 하지 않습니다,데니스 홍 (지은이) , 인플루엔셜(주) , 2022년 12월,4.5,에세이/산문
H마트에서 울다,"미셸 자우너 (지은이), 정혜윤 (옮긴이) ", 문학동네 , 2022년 2월,4.5,에세이/산문
여행의 이유,김영하 (지은이) , 문학동네 , 2019년 6월,4.0,에세이/산문
죽고 싶지만 떡볶이는 먹고 싶어,백세희 (지은이) , 흔 , 2018년 6월,3.0,에세이/산문
소크라테스 익스프레스,"에릭 와이너 (지은이), 김하현 (옮긴이) ", 어크로스 , 2021년 5월,4.5,에세이/산문
젊은 ADHD의 슬픔,정지음 (지은이) , 민음사 , 2021년 6월,4.5,에세이/산문
모든 것은 기본에서 시작한다,손웅정 (지은이) , 수오서재 , 2022년 1월,4.5,에세이/산문
명상록 : 철학자 황제가 전쟁터에서 자신에게 쓴 일기,"마르쿠스 아우렐리우스 (지은이), 박문재 (옮긴이) ", 현대지성 , 2018년 4월,4.5,에세이/산문
지금 이 순간을 살아라,"에크하르트 톨레 (지은이), 노혜숙, 유영일 (옮긴이) ", 양문 , 2014년 5월,4.5,에세이/산문
사랑한다고 상처를 허락하지 말 것,김달 (지은이) , 비에이블 , 2020년 11월,4.5,에세이/산문
잘될 수밖에 없는 너에게,최서영 (지은이) , 북로망스 , 2022년 9월,5.0,에세이/산문
세상을 보는 지혜 (한글판 + 영문판),"발타자르 그라시안 (지은이), 노화직 (옮긴이) ", 더클래식 , 2015년 7월,5.0,에세이/산문
카메라를 끄고 씁니다,"양영희 (지은이), 인예니 (옮긴이) ", 마음산책 , 2022년 11월,5.0,에세이/산문
다다다,김영하 (지은이) , 복복서가 , 2021년 4월,3.5,에세이/산문
기분을 관리하면 인생이 관리된다,김다슬 (지은이) , 클라우디아 , 2022년 10월,4.0,에세이/산문
망그러진 만화 : 망그러진 곰과 햄터의 귀염뽀짝 일상다반사!,유랑 (지은이) , 좋은생각 , 2022년 11월,5.0,에세이/산문
사람을 얻는 지혜,"발타자르 그라시안 (지은이), 임정재 (옮긴이) ", 타커스(끌레마) , 2016년 3월,5.0,에세이/산문
나의 아름다운 할머니,심윤경 (지은이) , 사계절 , 2022년 8월,4.5,에세이/산문
모국어는 차라리 침묵,목정원 (지은이) , 아침달 , 2022년 6월,4.5,에세이/산문
저 별은 모두 당신을 위해 빛나고 있다,손힘찬(오가타 마리토) (지은이) , RISE(떠오름) , 2022년 5월,5.0,에세이/산문
평일도 인생이니까,김신지 (지은이) , 알에이치코리아(RHK) , 2020년 4월,4.5,에세이/산문
우리가 명함이 없지 일을 안 했냐,경향신문 젠더기획팀 (지은이) , 휴머니스트 , 2023년 1월,5.0,에세이/산문
나는 옐로에 화이트에 약간 블루,"브래디 미카코 (지은이), 김영현 (옮긴이) ", 다다서재 , 2020년 4월,5.0,에세이/산문
가부장제의 경로를 이탈하였습니다,아넵 (지은이) , 위즈덤하우스 , 2022년 9월,5.0,에세이/산문
지구에서 영어생활자로 살아남는 법,백애리 (지은이) , 그래도봄 , 2023년 2월,5.0,에세이/산문
작가의 루틴 : 소설 쓰는 하루,"김중혁, 박솔뫼, 범유진 (지은이) ", &(앤드) , 2023년 1월,5.0,에세이/산문
미국에서 F2비자로 살아남기,장윤정(애슐리) (지은이) , 유페이퍼 , 2023년 1월,0.0,에세이/산문
만지고 싶은 기분,요조 (Yozoh) (지은이) , 마음산책 , 2023년 1월,4.5,에세이/산문
짝 없는 여자와 도시,"비비언 고닉 (지은이), 박경선 (옮긴이) ", 글항아리 , 2023년 2월,5.0,에세이/산문
어린이라는 세계,김소영 (지은이) , 사계절 , 2020년 11월,4.5,에세이/산문
전쟁은 여자의 얼굴을 하지 않았다,"스베틀라나 알렉시예비치 (지은이), 박은정 (옮긴이) ", 문학동네 , 2015년 10월,5.0,에세이/산문
골든아워 1,이국종 (지은이) , 흐름출판 , 2018년 11월,5.0,에세이/산문
누구에게도 상처받을 필요는 없다,지민석 (지은이) , 스튜디오오드리 , 2022년 4월,5.0,에세이/산문
이웃집 퀴어 이반지하,이반지하 (지은이) , 문학동네 , 2021년 8월,5.0,에세이/산문
시지프 신화,"알베르 카뮈 (지은이), 김화영 (옮긴이) ", 민음사 , 2021년 1월,4.0,에세이/산문
욕구들,"캐럴라인 냅 (지은이), 정지인 (옮긴이) ", 북하우스 , 2021년 6월,5.0,에세이/산문
사건,"아니 에르노 (지은이), 윤석헌 (옮긴이) ", 민음사 , 2019년 12월,4.5,에세이/산문
배움의 발견,"타라 웨스트오버 (지은이), 김희정 (옮긴이) ", 열린책들 , 2019년 12월,4.5,에세이/산문
어른의 중력,"사티아 도일 바이오크 (지은이), 임슬애 (옮긴이) ", 윌북 , 2022년 12월,4.5,에세이/산문
잘해봐야 시체가 되겠지만,"케이틀린 도티 (지은이), 임희근 (옮긴이) ", 반비 , 2020년 3월,4.0,에세이/산문
축구를 하며 생각한 것들,손흥민 (지은이) , 브레인스토어 , 2022년 11월,4.5,에세이/산문
헤맨다고 모두 길을 잃는 것은 아니다,김달 (지은이) , 빅피시 , 2021년 8월,5.0,에세이/산문
"스물아홉 생일, 1년 후 죽기로 결심했다 (스페셜 에디션 한정판)","하야마 아마리 (지은이), 장은주 (옮긴이) ", 예담 , 2021년 9월,4.0,에세이/산문
사랑은 없다 : 쇼펜하우어 인생론 에세이,"아르투어 쇼펜하우어 (지은이), 이동진 (옮긴이) ", 해누리기획 , 2019년 10월,4.5,에세이/산문
단정한 반복이 나를 살릴 거야,봉현 (지은이) , (주)미디어창비 , 2022년 7월,4.5,에세이/산문
부지런한 사랑,이슬아 (지은이) , 문학동네 , 2020년 10월,4.0,에세이/산문
타오르는 질문들,"마거릿 애트우드 (지은이), 이재경 (옮긴이) ", 위즈덤하우스 , 2022년 10월,5.0,에세이/산문
젊은 시인에게 보내는 편지,"라이너 마리아 릴케 (지은이), 송영택 (옮긴이) ", 문예출판사 , 2018년 5월,4.0,에세이/산문
네 가지 질문 : 내 삶을 바꾸는 경이로운 힘,"스티븐 미첼, 바이런 케이티 (지은이), 김윤 (옮긴이) ", 침묵의향기 , 2020년 2월,5.0,에세이/산문
오늘은 좀 매울지도 몰라,강창래 (지은이) , 문학동네 , 2018년 5월,4.5,에세이/산문
정희진처럼 읽기,정희진 (지은이) , 교양인 , 2017년 5월,0.0,에세이/산문
나는 왜 엄마가 힘들까 (리커버 에디션),썸머(이현주) (지은이) , 책과이음 , 2021년 12월,5.0,에세이/산문
사실은 사랑받고 싶었어,"박재연 (지은이), 박성혜 (그림) ", 한빛라이프 , 2021년 3월,5.0,에세이/산문
삐삐언니는 조울의 사막을 건넜어,이주현 (지은이) , 한겨레출판 , 2020년 7월,4.5,에세이/산문
감옥으로부터의 사색,신영복 (지은이) , 돌베개 , 2022년 2월,4.5,에세이/산문
짐승일기,김지승 (지은이) , 난다 , 2022년 12월,5.0,에세이/산문
"제가 한번 해보았습니다, 남기자의 체헐리즘",남형도 (지은이) , 김영사 , 2020년 6월,5.0,에세이/산문
보이지 않는 곳에서 애쓰고 있는 너에게,최대호 (지은이) , 떠오름 , 2022년 3월,5.0,에세이/산문
만남은 지겹고 이별은 지쳤다 (10만 부 기념 리커버 에디션),색과 체 (지은이) , 떠오름 , 2022년 6월,4.5,에세이/산문
사랑의 기술,"에리히 프롬 (지은이), 황문수 (옮긴이), 류승곤 (낭독) ", 문예출판사 , 2021년 8월,4.0,에세이/산문
"마음을 쏘다, 활","오이겐 헤리겔 (지은이), 정창호 (옮긴이) ", 걷는책 , 2021년 9월,5.0,에세이/산문
디 에센셜 조지 오웰,"조지 오웰 (지은이), 정회성, 강문순 (옮긴이) ", 민음사 , 2022년 9월,5.0,에세이/산문
끈기의 말들,강민선 (지은이) , 유유 , 2023년 2월,0.0,에세이/산문
대화의 밀도,류재언 (지은이) , 라이프레코드 , 2023년 1월,5.0,에세이/산문
웰컴 투 패닉 에어포트,홍만춘 (지은이) , 마누스 , 2023년 1월,5.0,에세이/산문
MBTI의 모든 것,"나우진, 김준환, 이지희 (지은이) ", 메이트북스 , 2023년 2월,5.0,에세이/산문
편의점 재영씨,신재영 (지은이) , 에쎄 , 2023년 2월,5.0,에세이/산문
진짜 게으른 사람이 쓴 게으름 탈출법,지이 (지은이) , 마인드빌딩 , 2020년 2월,4.5,에세이/산문
여자 둘이 살고 있습니다,"황선우, 김하나 (지은이) ", 위즈덤하우스 , 2019년 2월,4.5,에세이/산문
슬픔을 공부하는 슬픔,신형철 (지은이) , 한겨레출판 , 2018년 1월,4.5,에세이/산문
월든 (한글판),"헨리 데이비드 소로 (지은이), 전행선 (옮긴이) ", 더클래식 , 2013년 6월,4.0,에세이/산문
최소한의 이웃,허지웅 (지은이) , 김영사 , 2022년 8월,5.0,에세이/산문
삶으로 다시 떠오르기,"에크하르트 톨레 (지은이), 류시화 (옮긴이) ", 연금술사 , 2013년 8월,4.5,에세이/산문
일기 日記,황정은 (지은이) , 창비 , 2021년 10월,4.5,에세이/산문
쇳밥일지,천현우 (지은이) , 문학동네 , 2022년 8월,4.5,에세이/산문
마음이 흐르는 대로,지나영 (지은이) , 다산북스 , 2020년 11월,4.5,에세이/산문
헌책방 기담 수집가,윤성근 (지은이) , 프시케의숲 , 2021년 12월,4.5,에세이/산문
무라카미 하루키 잡문집,"무라카미 하루키 (지은이), 이영미 (옮긴이) ", 비채 , 2016년 11월,4.0,에세이/산문
마음사전,김소연 (지은이) , 마음산책 , 2013년 3월,4.5,에세이/산문
내가 죽으면 장례식에 누가 와줄까 (개정판),필름(Feelm) ,, 2020년 1월,4.5,에세이/산문
생생하게 살아 있는 캐릭터 만드는 법,"키라앤 펠리컨 (지은이), 정미화 (옮긴이) ", 아날로그(글담) , 2023년 1월,5.0,문화/예술
심판,"베르나르 베르베르 (지은이), 전미연 (옮긴이) ", 열린책들 , 2020년 8월,4.5,문화/예술
나는 좌절의 스페셜리스트입니다,백혜선 (지은이) , 다산북스 , 2023년 1월,5.0,문화/예술
혼자 해도 프로 작가처럼 잘 그리는 아이패드 드로잉 with 프로크리에이트,빨간고래(박정아) (지은이) , 한빛미디어 , 2022년 6월,5.0,문화/예술
일 잘하는 디자이너,"시부야 료이치(파치파치 디자인) (지은이), 안동현 (옮긴이) ", 이지스퍼블리싱 , 2023년 2월,5.0,문화/예술
"철학자 들뢰즈, 화가 베이컨을 말하다",박정태 (지은이) , 이학사 , 2019년 1월,5.0,문화/예술
딜레마 사전,"안젤라 애커만, 베카 푸글리시 (지은이), 오수원 (옮긴이) ", 윌북 , 2022년 8월,4.5,문화/예술
카메라를 끄고 씁니다,"양영희 (지은이), 인예니 (옮긴이) ", 마음산책 , 2022년 11월,5.0,문화/예술
[합본] 나의 해방일지 일반판,박해영 (지은이) , 오브제 , 2023년 2월,4.5,문화/예술
헤어질 결심 각본,"박찬욱, 정서경 (지은이) ", 을유문화사 , 2022년 8월,5.0,문화/예술
햄릿 (한글+영문판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2013년 6월,5.0,문화/예술
모국어는 차라리 침묵,목정원 (지은이) , 아침달 , 2022년 6월,4.5,문화/예술
오셀로 (한글판 + 영문판),"윌리엄 셰익스피어 (지은이), 김민애 (옮긴이) ", 더클래식 , 2015년 1월,0.0,문화/예술
한경아르떼 합스부르크 600년 매혹의 걸작들 100배 즐기기,한경arte 특별취재팀 (지은이) , 한국경제신문 , 2022년 12월,5.0,문화/예술
1일 1클래식 1포옹,"클레먼시 버턴힐 (지은이), 이석호 (옮긴이) ", 윌북 , 2023년 1월,5.0,문화/예술
인간의 마음을 사로잡는 스무 가지 플롯,"로널드 B. 토비아스 (지은이), 김석만 (옮긴이) ", 풀빛 , 2015년 3월,4.5,문화/예술
바냐 아저씨 (한글판),"안톤 파블로비치 체호프 (지은이), 장한 (옮긴이) ", 더클래식 , 2014년 6월,5.0,문화/예술
캐릭터 직업 사전,"안젤라 애커만, 베카 푸글리시 (지은이), 최세민 (옮긴이) ", 윌북 , 2021년 10월,4.5,문화/예술
인형의 집,"헨리크 입센 (지은이), 안미란 (옮긴이) ", 민음사 , 2012년 7월,4.5,문화/예술
STORY 시나리오 어떻게 쓸 것인가,"로버트 맥키 (지은이), 고영범, 이승민 (옮긴이) ", 민음인 , 2019년 2월,4.5,문화/예술
오셀로,"윌리엄 셰익스피어 (지은이), 최종철 (옮긴이) ", 민음사 , 2013년 2월,4.5,문화/예술
닫힌 방.악마와 선한 신,"장 폴 사르트르 (지은이), 지영래 (옮긴이) ", 민음사 , 2022년 7월,4.5,문화/예술
아이패드로 캐릭터 디자인 with 프로크리에이트,"3dtotal Publishing (지은이), 김혜연 (옮긴이) ", 이지스퍼블리싱 (주) , 2022년 4월,5.0,문화/예술
도시는 무엇으로 사는가,유현준 (지은이) , 을유문화사 , 2015년 5월,4.5,문화/예술
햄릿 (한글),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2012년 12월,4.0,문화/예술
맥베스 (한글판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2013년 8월,4.0,문화/예술
빌런의 공식,"사샤 블랙 (지은이), 정지현 (옮긴이) ", 윌북 , 2022년 10월,5.0,문화/예술
한계선을 넘다,크래프톤 (지은이) , 황금가지 , 2022년 11월,5.0,문화/예술
벚꽃동산 (한글판),"안톤 파블로비치 체호프 (지은이), 장한 (옮긴이) ", 더클래식 , 2013년 12월,3.5,문화/예술
앤드류 루미스의 인체 드로잉,앤드류 루미스 (지은이) , 아르드 , 2020년 3월,0.0,문화/예술
아가씨 각본,"박찬욱, 정서경 (지은이) ", 그책 , 2016년 9월,4.5,문화/예술
일러스트로 배우는 채색 테크닉,"무라 카루키 (지은이), 김재훈 (옮긴이) ", AK(에이케이)커뮤니케이션즈 , 2022년 6월,5.0,문화/예술
오셀로 (한글판),"윌리엄 셰익스피어 (지은이), 김민애 (옮긴이) ", 더클래식 , 2017년 4월,0.0,문화/예술
[세트] 디테일 사전 (총2권),"안젤라 애커만, 베카 푸글리시 (지은이), 최세희 (옮긴이) ", 윌북 , 2021년 5월,4.0,문화/예술
밤으로의 긴 여로,"유진 오닐 (지은이), 민승남 (옮긴이) ", 민음사 , 2012년 10월,4.5,문화/예술
"디자인, 이렇게 하면 되나요?","오자와 하야토 (지은이), 구수영 (옮긴이) ", 제이펍 , 2022년 6월,5.0,문화/예술
나는 스마트폰으로 매일 인생사진 찍는다,방쿤 (지은이) , T.W.I.G(티더블유아이지)(주) , 2021년 6월,5.0,문화/예술
이상한 날씨,"올리비아 랭 (지은이), 이동교 (옮긴이) ", 어크로스 , 2021년 12월,4.5,문화/예술
기이한 것과 으스스한 것,"마크 피셔 (지은이), 안현주 (옮긴이) ", 구픽 , 2019년 8월,0.0,문화/예술
