제목,저자,출판사,출간일,별점,장르
내가 틀릴 수도 있습니다,"비욘 나티코 린데블라드 (지은이), 토마스 산체스 (그림), 박미경 (옮긴이) ", 다산초당(다산북스) , 2022년 4월,4.5,인문
아비투스,"도리스 메르틴 (지은이), 배명자 (옮긴이) ", 다산초당(다산북스) , 2020년 8월,4.0,인문
옥스퍼드 오늘의 단어책,"수지 덴트 (지은이), 고정아 (옮긴이) ", 윌북 , 2023년 1월,4.5,인문
무기력의 심리학,"브랫 프랭크 (지은이), 김두완 (옮긴이) ", 흐름출판 , 2023년 2월,5.0,인문
우울할 땐 뇌 과학,"앨릭스 코브 (지은이), 정지인 (옮긴이) ", 심심 , 2018년 3월,4.0,인문
설득의 심리학 (개정판),"로버트 치알디니 (지은이), 황혜숙 (옮긴이) ", 21세기북스 , 2013년 8월,4.5,인문
뉴욕 정신과 의사의 사람 도서관,나종호 (지은이) , 아몬드 , 2022년 5월,4.5,인문
늦깎이 천재들의 비밀,"데이비드 엡스타인 (지은이), 이한음 (옮긴이) ", 열린책들 , 2020년 5월,4.5,인문
읽었다는 착각,"조재윤, 조병영, 이형래 (지은이) ", EBS BOOKS , 2022년 12월,4.5,인문
도파민네이션,"애나 렘키 (지은이), 김두완 (옮긴이) ", 흐름출판 , 2022년 4월,4.5,인문
나는 왜 생각이 많을까?,"홋타 슈고 (지은이), 윤지나 (옮긴이) ", 서사원 , 2021년 8월,4.5,인문
나의 사주명리,현묘 (지은이) , 날(도서출판) , 2022년 11월,5.0,인문
정의란 무엇인가,"마이클 샌델 (지은이), 김명철 (옮긴이), 김선욱 (감수) ", 와이즈베리 , 2014년 11월,4.5,인문
지적 대화를 위한 넓고 얕은 지식 0(제로) : 지혜를 찾아 138억 년을 달리는 시간 여행서,채사장 (지은이) , 웨일북 , 2020년 2월,4.0,인문
지적 대화를 위한 넓고 얕은 지식 2 : 한 권으로 현실 너머를 통찰하는 지식 여행서,채사장 (지은이) , 웨일북 , 2020년 2월,4.5,인문
조국의 법고전 산책,조국 (지은이) , 오마이북 , 2022년 12월,5.0,인문
익스텐드 마인드,"애니 머피 폴 (지은이), 이정미 (옮긴이) ", 알에이치코리아(RHK) , 2022년 11월,5.0,인문
미움받을 용기 (200만 부 기념 스페셜 에디션),"기시미 이치로, 고가 후미타케 (지은이), 전경아 (옮긴이) ", 인플루엔셜(주) , 2023년 1월,4.5,인문
겸손한 공감,김병수 (지은이) , 더퀘스트 , 2022년 4월,5.0,인문
사소절,"이덕무 (지은이), 이동희 (옮긴이) ", 전통문화연구회 , 2013년 6월,4.5,인문
마음의 법칙,"폴커 키츠, 마누엘 투쉬 (지은이), 김희상 (옮긴이) ", 포레스트북스 , 2022년 2월,4.5,인문
빅터 프랭클의 죽음의 수용소에서,"빅터 프랭클 (지은이), 이시형 (옮긴이) ", 청아출판사 , 2020년 7월,4.5,인문
차라투스트라는 이렇게 말했다,"프리드리히 니체 (지은이), 장희창 (옮긴이) ", 민음사 , 2012년 10월,4.0,인문
놓아버림,"데이비드 호킨스 (지은이), 박찬준 (옮긴이) ", 판미동 , 2013년 11월,5.0,인문
마이너 필링스,"캐시 박 홍 (지은이), 노시내 (옮긴이) ", 마티 , 2021년 11월,4.5,인문
공감의 배신,"폴 블룸 (지은이), 이은진 (옮긴이) ", 시공사 , 2019년 8월,4.0,인문
아리스토텔레스 시학 (그리스어 원전 완역본),"아리스토텔레스 (지은이), 박문재 (옮긴이) ", 현대지성 , 2021년 3월,5.0,인문
"다시, 어떻게 읽을 것인가","나오미 배런 (지은이), 전병근 (옮긴이) ", 어크로스 , 2023년 1월,4.5,인문
인생이 지옥처럼 느껴질 때,"마샤 리네한 (지은이), 박지니, 정미나 (옮긴이) ", 비잉(Being) , 2022년 4월,3.0,인문
이어령의 마지막 수업,김지수 (지은이) , 열림원 , 2021년 11월,4.5,인문
생각에 관한 생각,"대니얼 카너먼 (지은이), 이창신 (옮긴이) ", 김영사 , 2018년 4월,4.5,인문
사이코패스 뇌과학자,"제임스 팰런 (지은이), 김미선 (옮긴이) ", 더퀘스트 , 2020년 10월,4.5,인문
은유의 글쓰기 상담소,은유 (지은이) , 김영사 , 2023년 1월,5.0,인문
건강의 뇌과학,"제임스 굿윈 (지은이), 박세연 (옮긴이) ", 현대지성 , 2022년 7월,5.0,인문
몸이 아프다고 생각했습니다,"앨러스테어 샌트하우스 (지은이), 신소희 (옮긴이) ", 심심 , 2022년 12월,5.0,인문
신은 성서를 쓰지 않았다,"카럴 판스하이크, 카이 미헬 (지은이), 추선영 (옮긴이) ", 시공사 , 2023년 1월,5.0,인문
"철학자 들뢰즈, 화가 베이컨을 말하다",박정태 (지은이) , 이학사 , 2019년 1월,5.0,인문
불륜의 심리학,"게르티 젱어, 발터 호프만 (지은이), 함미라 (옮긴이) ", 탐나는책 , 2023년 2월,0.0,인문
소크라테스 익스프레스,"에릭 와이너 (지은이), 김하현 (옮긴이) ", 어크로스 , 2021년 5월,4.5,인문
우리는 여전히 삶을 사랑하는가,"에리히 프롬 (지은이), 라이너 풍크 (엮은이), 장혜경 (옮긴이) ", 김영사 , 2022년 2월,5.0,인문
군주론,"니콜로 마키아벨리 (지은이), 이시연 (옮긴이) ", 더클래식 , 2018년 11월,4.5,인문
떨림과 울림,김상욱 (지은이) , 동아시아 , 2018년 11월,4.5,인문
명상록 : 철학자 황제가 전쟁터에서 자신에게 쓴 일기,"마르쿠스 아우렐리우스 (지은이), 박문재 (옮긴이) ", 현대지성 , 2018년 4월,4.5,인문
딜레마 사전,"안젤라 애커만, 베카 푸글리시 (지은이), 오수원 (옮긴이) ", 윌북 , 2022년 8월,4.5,인문
유혹의 기술,강미경 (옮긴이) , 웅진지식하우스 , 2014년 10월,4.5,인문
이야기의 핵심,"리비 호커 (지은이), 안은주 (옮긴이) ", 한즈미디어 , 2022년 9월,4.5,인문
노화의 종말,"매슈 D. 러플랜트, 데이비드 A. 싱클레어 (지은이), 이한음 (옮긴이) ", 부키 , 2020년 8월,4.0,인문
내향인을 위한 심리학 수업,최재훈 (지은이) , 미래의창 , 2022년 11월,5.0,인문
논어 - 손 안의 고전,황종원 (지은이) , 서책 , 2013년 1월,4.5,인문
사랑 수업,윤홍균 (지은이) , 심플라이프 , 2020년 12월,4.5,인문
타인의 마음,"김경일, 사피엔스 스튜디오 (지은이) ", 샘터사 , 2022년 12월,5.0,인문
빈곤 과정,조문영 (지은이) , 글항아리 , 2022년 12월,4.0,인문
리추얼의 종말,"한병철 (지은이), 전대호 (옮긴이) ", 김영사 , 2021년 10월,5.0,인문
설득의 심리학 2 (개정판),"노아 골드스타인, 스티브 마틴, 로버트 치알디니 (지은이), 윤미나 (옮긴이) ", 21세기북스 , 2015년 1월,4.0,인문
어슐러 K. 르 귄의 말,"어슐러 K. 르 귄 (지은이), 이수현 (옮긴이) ", 마음산책 , 2023년 1월,5.0,인문
한편 9호 : 외모,민음사 편집부 (엮은이) , 민음사 , 2022년 9월,0.0,인문
블루프린트,"니컬러스 A. 크리스타키스 (지은이), 이한음 (옮긴이) ", 부키 , 2022년 12월,4.5,인문
지금보다 괜찮은 어른,김혜민 (지은이) , 시크릿하우스 , 2023년 1월,5.0,인문
나는 어떻게 성형미인이 되었나,임소연 (지은이) , 돌베개 , 2022년 12월,5.0,인문
한 문장이라도 제대로 쓰는 법,이연정 (지은이) , 21세기북스 , 2023년 2월,5.0,인문
팩트풀니스 : 우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유,"올라 로슬링, 안나 로슬링 뢴룬드, 한스 로슬링 (지은이), 이창신 (옮긴이) ", 김영사 , 2018년 2월,4.5,인문
최재천의 공부,"최재천, 안희경 (지은이) ", 김영사 , 2022년 5월,4.5,인문
12가지 인생의 법칙 (40만 부 기념 스페셜 에디션),"조던 B. 피터슨 (지은이), 강주헌 (옮긴이) ", 메이븐 , 2023년 2월,0.0,인문
이토록 뜻밖의 뇌과학,"리사 펠드먼 배럿 (지은이), 변지영 (옮긴이), 정재승 (감수) ", 더퀘스트 , 2021년 8월,4.5,인문
역사의 쓸모,최태성 (지은이) , 다산초당(다산북스) , 2019년 6월,4.5,인문
유혹하는 글쓰기 : 스티븐 킹의 창작론,"스티븐 킹 (지은이), 김진준 (옮긴이) ", 김영사 , 2020년 2월,4.5,인문
기억의 뇌과학,"리사 제노바 (지은이), 윤승희 (옮긴이) ", 웅진지식하우스 , 2022년 4월,4.5,인문
홀로서기 심리학,"라라 E. 필딩 (지은이), 이지민 (옮긴이) ", 메이븐 , 2020년 11월,5.0,인문
어떻게든 완성시켜드립니다,"도나 바커 (지은이), 이한이 (옮긴이) ", 위즈덤하우스 , 2023년 1월,5.0,인문
소크라테스의 변명·크리톤·파이돈·향연 (그리스어 원전 완역본) : 플라톤의 대화편,"플라톤 (지은이), 박문재 (옮긴이) ", 현대지성 , 2019년 12월,5.0,인문
어떤 고독은 외롭지 않다,"버지니아 울프, 에드거 앨런 포, 헨리 데이비드 소로 (지은이) ", 인플루엔셜(주) , 2022년 12월,4.5,인문
나는 왜 네 말이 힘들까,박재연 (지은이) , 한빛라이프 , 2020년 7월,4.5,인문
자유론 (개정판),"존 스튜어트 밀 (지은이), 서병훈 (옮긴이) ", 책세상 , 2018년 4월,4.5,인문
과학이 사랑에 대해 말해줄 수 있는 모든 것,"애나 마친 (지은이), 제효영 (옮긴이) ", 어크로스 , 2022년 12월,4.5,인문
비폭력 대화,"마셜 B. 로젠버그 (지은이), 캐서린 한 (옮긴이) ", 한국NVC출판사 , 2022년 10월,4.5,인문
돌봄과 작업,"홍한별, 정서경, 서유미 (지은이) ", 돌고래 , 2022년 12월,4.5,인문
기분이 태도가 되지 않으려면,나겨울 (지은이) , 떠오름 , 2021년 12월,5.0,인문
통찰지능,최연호 (지은이) , 글항아리 , 2022년 8월,5.0,인문
김미경의 마흔 수업,김미경 (지은이) , 어웨이크북스 , 2023년 2월,4.5,자기계발
사이토 히토리의 1퍼센트 부자의법칙,"사이토 히토리 (지은이), 김진아 (옮긴이) ", 나비스쿨 , 2023년 2월,5.0,자기계발
원씽,"게리 켈러, 제이 파파산 (지은이), 구세희 (옮긴이) ", 비즈니스북스 , 2013년 8월,4.0,자기계발
만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),김혜남 (지은이) , 메이븐 , 2022년 11월,4.5,자기계발
무조건 합격하는 암기의 기술,이윤규 (지은이) , 더퀘스트 , 2023년 1월,5.0,자기계발
역행자,자청 (지은이) , 웅진지식하우스 , 2022년 5월,4.0,자기계발
데일 카네기 인간관계론,"데일 카네기 (지은이), 임상훈 (옮긴이) ", 현대지성 , 2019년 10월,4.5,자기계발
어른의 어휘 공부,신효원 (지은이) , 책장속북스 , 2022년 9월,5.0,자기계발
게으른 완벽주의자를 위한 심리학,"헤이든 핀치 (지은이), 이은정 (옮긴이) ", 시크릿하우스 , 2022년 8월,5.0,자기계발
모든 것이 괜찮아지는 기술,"데런 브라운 (지은이), 김정희 (옮긴이) ", 너를위한 , 2023년 1월,5.0,자기계발
보도 섀퍼 부의 레버리지,"보도 섀퍼 (지은이), 한윤진 (옮긴이) ", 비즈니스북스 , 2023년 2월,5.0,자기계발
부는 어디서 오는가,"월리스 D. 와틀스 (지은이), 이상미 (옮긴이) ", 포레스트북스 , 2022년 12월,5.0,자기계발
데일 카네기 자기 관리론 (국내 최초 무삭제 완역본),"데일 카네기 (지은이), 유광선(WILDS), 김광수 (옮긴이) ", 와일드북 , 2023년 1월,5.0,자기계발
신경 끄기 연습,"나이토 요시히토 (지은이), 김한나 (옮긴이) ", 유노책주 , 2023년 1월,5.0,자기계발
사람을 얻는 지혜 (스페인어 원전 완역본),"발타자르 그라시안 (지은이), 김유경 (옮긴이) ", 현대지성 , 2022년 10월,5.0,자기계발
데일 카네기 자기관리론,데일 카네기 (지은이) , 현대지성 , 2021년 1월,4.5,자기계발
진짜 쓰는 실무 엑셀,오빠두(전진권) (지은이) , 제이펍 , 2022년 9월,5.0,자기계발
그릿(50만부 판매 기념 리커버 골드에디션),"앤절라 더크워스 (지은이), 김미정 (옮긴이) ", 비즈니스북스 , 2019년 2월,4.5,자기계발
10배의 법칙,"그랜트 카돈 (지은이), 최은아 (옮긴이) ", 부키 , 2022년 4월,4.5,자기계발
데일리 필로소피,"라이언 홀리데이, 스티븐 핸슬먼 (지은이), 장원철 (옮긴이) ", 다산초당 , 2021년 12월,4.5,자기계발
타이탄의 도구들,"팀 페리스 (지은이), 박선령, 정지현 (옮긴이) ", 토네이도 , 2017년 4월,4.0,자기계발
가진 돈은 몽땅 써라,"호리에 다카후미 (지은이), 윤지나 (옮긴이) ", 쌤앤파커스 , 2022년 6월,4.0,자기계발
되는 사람,"도널드 밀러 (지은이), 김은영 (옮긴이) ", 윌북 , 2023년 2월,5.0,자기계발
아주 작은 습관의 힘,"제임스 클리어 (지은이), 이한이 (옮긴이) ", 비즈니스북스 , 2019년 2월,4.5,자기계발
당신의 뇌는 최적화를 원한다,"가바사와 시온 (지은이), 오시연 (옮긴이) ", 쌤앤파커스 , 2019년 2월,4.0,자기계발
웰씽킹,켈리 최 (지은이) , 다산북스 , 2021년 11월,4.5,자기계발
멘탈을 바꿔야 인생이 바뀐다,박세니 (지은이) , 마인드셋 , 2022년 5월,4.0,자기계발
설득의 심리학 (개정판),"로버트 치알디니 (지은이), 황혜숙 (옮긴이) ", 21세기북스 , 2013년 8월,4.5,자기계발
회복탄력성 (리커버),김주환 (지은이) , 위즈덤하우스 , 2019년 4월,5.0,자기계발
레버리지 (20만 부 기념 블랙에디션),"롭 무어 (지은이), 김유미 (옮긴이) ", 다산북스 , 2023년 2월,0.0,자기계발
"우리, 편하게 말해요",이금희 (지은이) , 웅진지식하우스 , 2022년 10월,4.5,자기계발
조셉 머피 끌어당김의 기적,"조셉 머피 (지은이), 조율리 (옮긴이) ", 다산북스 , 2023년 1월,4.5,자기계발
마인드셋 (리커버 에디션),"캐롤 드웩 (지은이), 김윤재 (옮긴이) ", 스몰빅라이프 , 2023년 1월,4.0,자기계발
합리적 남자,"롤로 토마시 (지은이), 임현진 (옮긴이) ", 아니마 , 2020년 2월,4.5,자기계발
[요약발췌본] 하버드 100년 전통 말하기 수업,"이에스더 (옮긴이), 선호제 (낭독) ", 리드리드출판(한국능률협회) , 2020년 7월,4.5,자기계발
생각하라 그리고 부자가 되어라,"나폴레온 힐 (지은이), 빌 하틀리 (엮은이), 이한이 (옮긴이) ", 반니 , 2021년 6월,4.0,자기계발
밥 프록터 부의 확신,"밥 프록터 (지은이), 김문주 (옮긴이) ", 비즈니스북스 , 2022년 7월,5.0,자기계발
챗GPT,반병현 (지은이) , 생능북스 , 2023년 2월,4.5,자기계발
마음의 법칙,"폴커 키츠, 마누엘 투쉬 (지은이), 김희상 (옮긴이) ", 포레스트북스 , 2022년 2월,4.5,자기계발
비상식적 성공 법칙,"간다 마사노리 (지은이), 서승범 (옮긴이) ", 생각지도 , 2022년 6월,4.5,자기계발
보도 섀퍼의 이기는 습관,"보도 섀퍼 (지은이), 박성원 (옮긴이) ", 토네이도 , 2022년 4월,4.5,자기계발
생각이 너무 많은 서른 살에게,김은주 (지은이) , 메이븐 , 2021년 6월,4.0,자기계발
당신도 초자연적이 될 수 있다,"조 디스펜자 (지은이), 추미란 (옮긴이) ", 샨티 , 2022년 11월,4.5,자기계발
처음 20시간의 법칙,"조시 카우프만 (지은이), 방영호, 조혜란 (옮긴이) ", 알키 , 2014년 3월,4.0,자기계발
운의 심리학,유민지 (지은이) , 쌤앤파커스 , 2023년 2월,4.5,자기계발
The Secret 시크릿,"론다 번 (지은이), 김우열 (옮긴이) ", 살림Biz , 2012년 10월,4.0,자기계발
나는 4시간만 일한다,"팀 페리스 (지은이), 최원형, 윤춘송 (옮긴이) ", 다른상상 , 2017년 10월,3.0,자기계발
나는 무조건 합격하는 공부만 한다,이윤규 (지은이) , 비즈니스북스 , 2019년 12월,4.0,자기계발
기브 앤 테이크,"애덤 그랜트 (지은이), 윤태준 (옮긴이) ", 생각연구소 , 2013년 12월,4.5,자기계발
힘들어도 사람한테 너무 기대지 마세요,정우열 (지은이) , 동양북스(동양문고) , 2022년 5월,5.0,자기계발
무기가 되는 스토리 : 브랜드 전쟁에서 살아남는 7가지 문장 공식,"도널드 밀러 (지은이), 이지연 (옮긴이) ", 윌북 , 2018년 9월,4.5,자기계발
나는 왜 혼자가 편할까?,"오카다 다카시 (지은이), 김해용 (옮긴이) ", 동양북스(동양문고) , 2022년 2월,4.5,자기계발
당신의 뇌는 변화가 필요합니다,"가비아 톨리키타 (지은이), 이영래 (옮긴이) ", 비즈니스북스 , 2022년 12월,5.0,자기계발
밥 프록터의 위대한 확언,"밥 프록터 (지은이), 김잔디 (옮긴이), 조성희 (감수) ", 페이지2(page2) , 2022년 12월,5.0,자기계발
무조건 팔리는 카피,"글렌 피셔 (지은이), 박지혜 (옮긴이) ", 동양북스(동양문고) , 2023년 1월,5.0,자기계발
악마의 연애술 : 그를 내 남자로 만드는 긴자의 법칙 133,"나비 (지은이), 신현정 (옮긴이) ", 새움 , 2013년 4월,4.0,자기계발
일 잘하는 디자이너,"시부야 료이치(파치파치 디자인) (지은이), 안동현 (옮긴이) ", 이지스퍼블리싱 , 2023년 2월,5.0,자기계발
상상의 힘,네빌 고다드 (지은이) , 서른세개의계단 , 2023년 2월,4.5,자기계발
일생에 단 한번은 독기를 품어라,권민창 (지은이) , 마인드셋 , 2023년 2월,5.0,자기계발
유혹의 기술,강미경 (옮긴이) , 웅진지식하우스 , 2014년 10월,4.5,자기계발
지금 이 순간을 살아라,"에크하르트 톨레 (지은이), 노혜숙, 유영일 (옮긴이) ", 양문 , 2014년 5월,4.5,자기계발
백만장자 시크릿,"하브 에커 (지은이), 나선숙 (옮긴이) ", 알에이치코리아(RHK) , 2020년 8월,4.5,자기계발
네빌고다드의 부활,네빌 고다드 (지은이) , 서른세개의계단 , 2013년 12월,4.5,자기계발
네빌고다드 5일간의 강의,네빌 고다드 (지은이) , 서른세개의계단 , 2013년 2월,4.5,자기계발
세상을 보는 지혜 (한글판 + 영문판),"발타자르 그라시안 (지은이), 노화직 (옮긴이) ", 더클래식 , 2015년 7월,5.0,자기계발
영어 필사 100일의 기적,퍼포먼스 코치 리아 (지은이) , 넥서스 , 2021년 11월,4.5,자기계발
사랑 수업,윤홍균 (지은이) , 심플라이프 , 2020년 12월,4.5,자기계발
린치핀,"세스 고딘 (지은이), 윤영삼 (옮긴이) ", 라이스메이커 , 2019년 12월,4.0,자기계발
네빌링,리그파 (지은이) , 서른세개의계단 , 2014년 9월,4.5,자기계발
타인의 마음,"김경일, 사피엔스 스튜디오 (지은이) ", 샘터사 , 2022년 12월,5.0,자기계발
데일 카네기 성공대화론,"데일 카네기 (지은이), 임상훈 (옮긴이) ", 현대지성 , 2022년 10월,5.0,자기계발
임모틀맨 2,네빌 고다드 (지은이) , 서른세개의계단 , 2022년 12월,5.0,자기계발
‘한 번 더’의 힘,"에드 마일렛 (지은이), 박병화 (옮긴이) ", 토네이도 , 2022년 11월,5.0,자기계발
설득의 심리학 2 (개정판),"노아 골드스타인, 스티브 마틴, 로버트 치알디니 (지은이), 윤미나 (옮긴이) ", 21세기북스 , 2015년 1월,4.0,자기계발
적당히 느슨하게 조금씩 행복해지는 습관,"바쿠@정신과의 (지은이), 김윤경 (옮긴이) ", 부키 , 2023년 1월,4.5,자기계발
나는 하루 5분만 바꾸기로 했다,옥민송 (지은이) , 콘택트 , 2022년 12월,4.5,자기계발
콘텐츠의 신,직업의모든것(황해수) (지은이) , 라이스메이커 , 2022년 12월,5.0,자기계발
세상에서 가장 쉬운 하고 싶은 일 찾는 법,"야기 짐페이 (지은이), 장혜영 (옮긴이) ", ㈜소미미디어 , 2022년 6월,5.0,자기계발
최재천의 공부,"최재천, 안희경 (지은이) ", 김영사 , 2022년 5월,4.5,자기계발
사람을 얻는 지혜,"발타자르 그라시안 (지은이), 임정재 (옮긴이) ", 타커스(끌레마) , 2016년 3월,5.0,자기계발
신경 끄기의 기술  : 인생에서 가장 중요한 것만 남기는 힘,한재호 (옮긴이) , 갤리온 , 2017년 10월,4.0,자기계발
말 그릇 : 비울수록 사람을 더 채우는,김윤나 (지은이) , 카시오페아 , 2017년 9월,4.5,자기계발
찰리 멍거 바이블,"이건, 김재현 (지은이) ", 에프엔미디어 , 2022년 12월,4.5,자기계발
메이크 타임,"제이크 냅, 존 제라츠키 (지은이), 박우정 (옮긴이) ", 김영사 , 2019년 4월,4.5,자기계발
모든 것이 되는 법 : 꿈이 너무 많은 당신을 위한 새로운 삶의 방식,김보미 (옮긴이) , 웅진지식하우스 , 2017년 12월,4.5,자기계발
면접 바이블 2.0,면접왕 이형 (지은이) , 얼라이브북스(Alivebooks) , 2022년 4월,5.0,자기계발
더 바이브 The Vibe,이하영 (지은이) , 미다스북스 , 2023년 1월,5.0,자기계발
예쁘게 말하는 네가 좋다,김범준 (지은이) , 포레스트북스 , 2022년 7월,4.5,자기계발
불렛저널,"라이더 캐롤 (지은이), 최성옥 (옮긴이) ", 한빛비즈 , 2018년 11월,4.0,자기계발
말의 알고리즘,"김정호, 고은미 (지은이) ", 한밤의책 , 2022년 6월,5.0,자기계발
무례한 사람에게 휘둘리지 않는 법,정재훈 (지은이) , 마인드셋 , 2022년 5월,5.0,자기계발
데일리 크리에이티브,"토드 헨리 (지은이), 지소강, 양소하 (옮긴이) ", 인플루엔셜(주) , 2022년 12월,5.0,자기계발
"울트라러닝, 세계 0.1％가 지식을 얻는 비밀","스콧 영 (지은이), 이한이 (옮긴이) ", 비즈니스북스 , 2020년 2월,4.0,자기계발
리액트,"네빌 고다드 (지은이), 이상민 (옮긴이) ", 서른세개의계단 , 2020년 5월,4.0,자기계발
결혼은 신중하게 이혼은 신속하게,이지훈 (지은이) , 21세기북스 , 2021년 3월,4.5,자기계발
업무와 일상을 정리하는 새로운 방법 노션 Notion,"전시진, 이해봄 (지은이) ", 제이펍 , 2022년 12월,5.0,자기계발
시간을 선택하는 기술 블럭식스,정지하(룩말) (지은이) , 한즈미디어 , 2021년 12월,5.0,자기계발
내 생각과 관점을 수익화하는 퍼스널 브랜딩,촉촉한마케터(조한솔) (지은이) , 초록비책공방 , 2022년 9월,5.0,자기계발
이게 무슨 일이야!,(주)우아한형제들 (지은이) , 북스톤 , 2022년 8월,5.0,자기계발
지구에서 영어생활자로 살아남는 법,백애리 (지은이) , 그래도봄 , 2023년 2월,5.0,자기계발
세상에서 가장 쉬운 본질육아,지나영 (지은이) , 21세기북스 , 2022년 9월,5.0,가정/생활
자발적 방관육아,최은아 (지은이) , 쌤앤파커스 , 2023년 1월,5.0,가정/생활
초등입학 엄마의 비밀노트,지서영 (지은이) , 이페이지 , 2023년 1월,5.0,가정/생활
똑게육아,로리(김준희) (지은이) , 북로스트 , 2022년 5월,5.0,가정/생활
아들의 뇌,곽윤정 (지은이) , 포레스트북스 , 2021년 10월,5.0,가정/생활
0~5세 말걸기 육아의 힘,김수연 (지은이) , 위즈덤하우스 , 2020년 9월,5.0,가정/생활
내 아이를 위한 감정코칭,"조벽, 최성애, 존 가트맨 (지은이) ", 해냄출판사 , 2020년 2월,4.5,가정/생활
부모 인문학 수업,김종원 (지은이) , 청림Life , 2022년 7월,5.0,가정/생활
어떻게 말해줘야 할까,"오은영 (지은이), 차상미 (그림) ", 김영사 , 2020년 11월,5.0,가정/생활
돌봄과 작업,"홍한별, 정서경, 서유미 (지은이) ", 돌고래 , 2022년 12월,4.5,가정/생활
기분대로 아이를 키우지 않겠습니다,곽윤정 (지은이) , 포레스트북스 , 2022년 11월,5.0,가정/생활
우리 아이 기질 맞춤 양육 매뉴얼,정가은 (지은이) , 서사원 , 2022년 11월,5.0,가정/생활
공부머리 독서법 : 실현 가능하고 지속 가능한 독서교육의 모든 것,최승필 (지은이) , 책구루 , 2018년 7월,4.5,가정/생활
신의진의 아이심리백과 : 0~2세 편 (30만 부 기념 최신 증보판),신의진 (지은이) , 메이븐 , 2020년 6월,5.0,가정/생활
